,0,1
G_cy_80582_arsu,-162.22346,-38.80468
G_cy_80701_arsu,-133.14723,-22.890352
G_cy_80801_arsu,-128.83679,-15.633241
G_cy_80826_arsu,-154.82811,-53.392433
G_cy_81108_arsu,-118.01845,-31.100159
G_cy_81118_arsu,-142.01103,-46.967194
G_cy_82508_pu,43.304455,80.893654
G_cy_85356_suta,-129.9794,-47.65943
G_cy_85499_arsu,-123.19121,-42.308712
G_cy_85678_arsu,-133.32175,-32.381546
G_cy_86297_suta,-151.61916,-37.015747
G_cy_86321_suta,-146.47725,-66.13638
G_cy_86458_suta,-139.53307,-28.179146
G_cy_86478_suta,-140.48979,-10.464298
G_cy_J296_ma,126.467155,-5.506485
G_cy_J477_ma,134.60365,-1.2443777
G_cy_J691_roar,142.19504,-7.257756
G_cy_J694_roar,147.18184,-0.29960346
G_cy_J773_ma,127.23922,2.3560805
G_cy_T10897_pa,33.941425,-150.86887
G_cy_T11062_pa,55.06759,-167.51166
G_cy_T12275_pu,60.831585,92.01806
G_cy_T12279_pu,42.31808,95.51155
G_cy_T12385_In,18.12682,152.48283
G_cy_T12392_pu,56.34872,101.38894
G_cy_T13184_pu,51.824066,93.532425
G_cy_T13251_ma,139.84349,4.97289
G_cy_T14558_suta,-146.46893,-41.147755
G_cy_T16693_suta,-142.12575,-21.781292
G_cy_T16771_pa,33.248955,-159.05716
G_cy_T1705_pa,42.95952,-140.68784
G_cy_T18563_suta,-149.43524,-20.40945
G_cy_T18620_suta,-155.02249,-27.01487
G_cy_T18744_pa,46.682426,-164.94963
G_cy_T19429_pa,56.679955,-146.5701
G_cy_T19520_pa,61.429672,-152.64818
G_cy_T19765_pa,52.691494,-158.4884
G_cy_T23196_In,3.4330544,154.65671
G_cy_T2497_pa,47.28199,-152.57883
G_cy_T26228_pu,47.916515,100.7107
G_cy_T26229_pu,46.607628,76.09462
G_cy_T26252_pu,50.1466,84.13417
G_cy_T310_In,23.265022,157.90155
G_cy_T3343_jigu,-1.7052759,161.05739
G_cy_T3384_jigu,12.431405,166.28072
G_cy_T3385_jigu,5.502907,164.1842
G_cy_T363_ma,133.06451,8.635042
G_cy_T364_ma,134.00049,-11.092735
G_cy_T6579_pa,40.757595,-169.80669
G_cy_T7636_In,10.200578,157.8956
G_cy_T9133_pa,42.04226,-159.2064
