Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
LSUMNS,80582,,,Galbula,cyanicollis,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,G_cy_80582_arsu
LSUMNS,80701,,,Galbula,cyanicollis,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,G_cy_80701_arsu
LSUMNS,80801,,,Galbula,cyanicollis,-5.25175,-59.69472222,Aripuanã-Sucunduri,arsu,G_cy_80801_arsu
LSUMNS,80826,,,Galbula,cyanicollis,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,G_cy_80826_arsu
LSUMNS,81108,,,Galbula,cyanicollis,-5.799111111,-59.26861111,Aripuanã-Sucunduri,arsu,G_cy_81108_arsu
LSUMNS,81118,,,Galbula,cyanicollis,-5.799111111,-59.26861111,Aripuanã-Sucunduri,arsu,G_cy_81118_arsu
MPEG,82508,PUR025,,Galbula,cyanicollis,-7.69452,-65.223491,Purus,pu,G_cy_82508_pu
LSUMNS,85356,,,Galbula,cyanicollis,-5.944444444,-59.16388889,Sucunduri-Tapajós,suta,G_cy_85356_suta
LSUMNS,85499,,,Galbula,cyanicollis,-5.933333333,-59.17611111,Aripuanã-Sucunduri,arsu,G_cy_85499_arsu
LSUMNS,85678,,,Galbula,cyanicollis,-5.950555556,-59.17388889,Aripuanã-Sucunduri,arsu,G_cy_85678_arsu
LSUMNS,86297,,,Galbula,cyanicollis,-5.261944444,-59.06805556,Sucunduri-Tapajós,suta,G_cy_86297_suta
LSUMNS,86321,,,Galbula,cyanicollis,-6.251944444,-59.06805556,Sucunduri-Tapajós,suta,G_cy_86321_suta
LSUMNS,86458,,,Galbula,cyanicollis,-6.251944444,-59.06805556,Sucunduri-Tapajós,suta,G_cy_86458_suta
LSUMNS,86478,,,Galbula,cyanicollis,-6.261944444,-59.06805556,Sucunduri-Tapajós,suta,G_cy_86478_suta
MPEG,J296,LJM220,,Galbula,cyanicollis,-7.56722,-60.68817,Machado,ma,G_cy_J296_ma
MPEG,J477,LJM264,,Galbula,cyanicollis,-7.695083,-60.912417,Machado,ma,G_cy_J477_ma
AMNH,J691,LJM311,261356,Galbula,cyanicollis,-8.17761,-60.45314,Roosevelt-Aripuana,roar,G_cy_J691_roar
AMNH,J694,GDR375,261360,Galbula,cyanicollis,-8.17761,-60.45314,Roosevelt-Aripuana,roar,G_cy_J694_roar
AMNH,J773,GDR403,261446,Galbula,cyanicollis,-7.56722,-60.68817,Machado,ma,G_cy_J773_ma
MPEG,T10897,MPDS1229,,Galbula,cyanicollis,-6.518952778,-57.44455556,Para,pa,G_cy_T10897_pa
MPEG,T11062,PIME362,,Galbula,cyanicollis,-5.03805,-55.5189,Para,pa,G_cy_T11062_pa
MPEG,T12275,TUP011,,Galbula,cyanicollis,-4.083333333,-60.6605,Purus,pu,G_cy_T12275_pu
MPEG,T12279,TUP015,,Galbula,cyanicollis,-4.083333333,-60.6605,Purus,pu,G_cy_T12279_pu
MPEG,T12385,JUR040,,Galbula,cyanicollis,-7.96,-69.94583333,in,In,G_cy_T12385_In
MPEG,T12392,TUP050,,Galbula,cyanicollis,-4.083333333,-60.6605,Purus,pu,G_cy_T12392_pu
MPEG,T13184,OM133,,Galbula,cyanicollis,-7.518333333,-63.33777778,Purus,pu,G_cy_T13184_pu
MPEG,T13251,OM201,,Galbula,cyanicollis,-8.909138889,-62.00008333,Machado,ma,G_cy_T13251_ma
MPEG,T14558,ARA032,,Galbula,cyanicollis,-3.15,-55.81666667,Sucunduri-Tapajós,suta,G_cy_T14558_suta
MPEG,T16693,ARAII091,,Galbula,cyanicollis,-2.586833333,-55.19516667,Sucunduri-Tapajós,suta,G_cy_T16693_suta
MPEG,T16771,PNSP054,,Galbula,cyanicollis,-5.87775,-52.79538889,Para,pa,G_cy_T16771_pa
MPEG,T1705,UHE410,,Galbula,cyanicollis,-3.529777778,-51.73294444,Para,pa,G_cy_T1705_pa
MPEG,T18563,JAT(C)144,,Galbula,cyanicollis,-5.07325,-56.8559,Sucunduri-Tapajós,suta,G_cy_T18563_suta
MPEG,T18620,JAT(A)023,,Galbula,cyanicollis,-5.738527778,-57.35552778,Sucunduri-Tapajós,suta,G_cy_T18620_suta
MPEG,T18744,JAT(B)012,,Galbula,cyanicollis,-5.569472222,-57.12809167,Para,pa,G_cy_T18744_pa
MPEG,T19429,JAT(C)262,,Galbula,cyanicollis,-5.230327778,-56.93219444,Para,pa,G_cy_T19429_pa
MPEG,T19520,JAT(A)261,,Galbula,cyanicollis,-6.110238889,-57.61296111,Para,pa,G_cy_T19520_pa
MPEG,T19765,JAT(A)474,,Galbula,cyanicollis,-5.792852778,-57.40004444,Para,pa,G_cy_T19765_pa
MPEG,T23196,JUT011,,Galbula,cyanicollis,-3.271138889,-67.32516667,in,In,G_cy_T23196_In
MPEG,T2497,BR163-159,,Galbula,cyanicollis,-7.191416667,-55.49536111,Para,pa,G_cy_T2497_pa
MPEG,T26228,PUR024,,Galbula,cyanicollis,-7.694969444,-65.22405556,Purus,pu,G_cy_T26228_pu
MPEG,T26229,PUR025,,Galbula,cyanicollis,-7.694969444,-65.22405556,Purus,pu,G_cy_T26229_pu
