,0,1
H_oc_A311_jigu,-55.797184,37.302727
H_oc_T15847_jigu,13.928934,-118.71022
H_oc_T355_jigu,192.1696,-110.847404
H_pe_A24346_pu,85.3759,-723.72174
H_ro_A409_ma,-75.76752,-57.82443
H_ro_A410_ma,-67.1034,-35.09564
H_ro_A521_ma,-58.41194,-30.657225
H_ro_A547_ma,195.11403,-104.38048
H_ro_A551_ma,-61.18443,-38.36827
H_ro_J213_ma,188.45648,-104.161156
H_ro_J305_ma,193.51208,-120.97783
H_ro_J508_ma,186.29964,-118.32358
H_ro_J774_ma,188.92075,-128.12965
H_ro_J775_ma,189.27286,-122.723
H_ro_J796_ma,187.38863,-110.79857
H_ro_T1842_ma,195.06787,-128.39148
H_ro_T366_ma,180.18047,-127.37271
H_ro_T385_ma,196.80528,-112.35612
H_ro_T471_ma,183.58427,-123.93707
H_st_77860_arsu,-81.05778,-54.540184
H_st_78249_arsu,-87.6676,-19.588531
H_st_80727_arsu,-82.15616,-61.957264
H_st_80800_arsu,-61.081345,-26.283812
H_st_81143_arsu,-73.233894,-63.565197
H_st_81279_suta,-51.16511,-23.3776
H_st_85680_arsu,-66.75299,-24.85454
H_st_85970_arsu,-63.622772,-17.133745
H_st_86405_suta,-77.45992,-31.712658
H_st_A11597_pa,-78.6541,31.877428
H_st_A14546_suta,-89.21732,-44.205746
H_st_A15208_pa,-73.4816,30.612349
H_st_A15210_pa,-77.641624,27.330057
H_st_A16571_pa,-92.7579,-40.591118
H_st_A272_arsu,-73.29872,-50.922718
H_st_A273_arsu,-57.178463,-25.293774
H_st_A4899_suta,-74.172226,-23.714952
H_st_A7597_pa,-75.00385,35.86233
H_st_A9955_pa,-83.11904,-29.729237
H_st_J364_roar,-7.4256535,12.691451
H_st_J368_roar,-5.458106,-0.28044713
H_st_J370_roar,-0.021395009,3.4118378
H_st_J374_roar,-3.78314,5.796576
H_st_J408_roar,-9.258321,4.199972
H_st_J525_arsu,-53.87246,1.2504274
H_st_J530_arsu,-56.71667,-2.060814
H_st_J536_arsu,-52.549534,-3.5724354
H_st_J572_arsu,-71.59146,-56.97461
H_st_J621_roar,6.600843,3.0284598
H_st_J664_roar,-5.389956,-6.326742
H_st_J665_roar,0.5129712,9.884933
H_st_J711_roar,-12.815988,8.890231
H_st_J762_roar,0.19592826,-5.6468854
H_st_J765_roar,-12.388383,-0.61849433
H_st_T10207_suta,-88.085495,-58.886646
H_st_T11900_suta,-79.38836,-20.223782
H_st_T12194_suta,-86.14535,-32.539463
H_st_T16744_pa,-81.205986,36.507618
H_st_T17858_pa,-92.71668,-26.850113
H_st_T24564_suta,-80.66945,-36.217545
H_st_T7114_suta,-80.76935,-24.221552
