Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
INPA,A311,,,Hypocnemis,cantator,-8.830523,-63.960493,Jiparaná-Guaporé,jigu,H_oc_A311_jigu
MPEG,T15847,MAD023,,Hypocnemis,ochrogyna,-8.223888889,-63.18183333,Jiparaná-Guaporé,jigu,H_oc_T15847_jigu
MPEG,T355,MAR046,,Hypocnemis,cantator,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,H_oc_T355_jigu
INPA,A24346,,,Hypocnemis,peruviana,-7.831896,-63.844818,Purus,pu,H_pe_A24346_pu
INPA,A409,,,Hypocnemis,cantator,-6.3,-60.33333333,Machado,arsu,H_ro_A409_ma
INPA,A410,,,Hypocnemis,cantator,-6.3,-60.33333333,Machado,arsu,H_ro_A410_ma
INPA,A521,,,Hypocnemis,cantator,-6.3,-60.33333333,Machado,arsu,H_ro_A521_ma
INPA,A547,,,Hypocnemis,cantator,-6.25,-60.45,Machado,ma,H_ro_A547_ma
INPA,A551,,,Hypocnemis,cantator,-6.3,-60.33333333,Machado,arsu,H_ro_A551_ma
MPEG,J213,MAR091,,Hypocnemis,rondoni,-7.56722,-60.68817,Machado,ma,H_ro_J213_ma
MPEG,J305,GDR249,,Hypocnemis,rondoni,-7.56722,-60.68817,Machado,ma,H_ro_J305_ma
MPEG,J508,GT108,,Hypocnemis,rondoni,-7.695083,-60.912417,Machado,ma,H_ro_J508_ma
AMNH,J774,LJM325,261438,Hypocnemis,rondoni,-7.56722,-60.68817,Machado,ma,H_ro_J774_ma
AMNH,J775,LJM326,261449,Hypocnemis,rondoni,-7.56722,-60.68817,Machado,ma,H_ro_J775_ma
AMNH,J796,GDR411,261467,Hypocnemis,rondoni,-7.56722,-60.68817,Machado,ma,H_ro_J796_ma
MPEG,T1842,MPDS659,,Hypocnemis,cantator,-7.466666667,-62.81666667,Machado,ma,H_ro_T1842_ma
MPEG,T366,MAR059,,Hypocnemis,cantator,-8.687305556,-61.40816667,Machado,ma,H_ro_T366_ma
MPEG,T385,MAR081,,Hypocnemis,cantator,-8.695666667,-61.40816667,Machado,ma,H_ro_T385_ma
MPEG,T471,MAR182,,Hypocnemis,cantator,-8.650361111,-61.42013889,Machado,ma,H_ro_T471_ma
LSUMNS,77860,,,Hypocnemis,striata,-7.3475,-58.15722222,Aripuanã-Sucunduri,arsu,H_st_77860_arsu
LSUMNS,78249,,,Hypocnemis,striata,-7.513333333,-58.25361111,Aripuanã-Sucunduri,arsu,H_st_78249_arsu
LSUMNS,80727,,,Hypocnemis,striata,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,H_st_80727_arsu
LSUMNS,80800,,,Hypocnemis,striata,-5.25175,-59.69472222,Aripuanã-Sucunduri,arsu,H_st_80800_arsu
LSUMNS,81143,,,Hypocnemis,striata,-5.8025,-59.25625,Aripuanã-Sucunduri,arsu,H_st_81143_arsu
LSUMNS,81279,,,Hypocnemis,striata,-4.050833333,-59.11527778,Sucunduri-Tapajós,suta,H_st_81279_suta
LSUMNS,85680,,,Hypocnemis,striata,-5.950555556,-59.17388889,Aripuanã-Sucunduri,arsu,H_st_85680_arsu
LSUMNS,85970,,,Hypocnemis,striata,-6.705555556,-59.07888889,Aripuanã-Sucunduri,arsu,H_st_85970_arsu
LSUMNS,86405,,,Hypocnemis,striata,-5.261944444,-59.06805556,Sucunduri-Tapajós,suta,H_st_86405_suta
INPA,A11597,,,Hypocnemis,striata,-4.745097222,-56.41267778,Para,pa,H_st_A11597_pa
INPA,A14546,,,Hypocnemis,striata,-5.062222222,-56.87388889,Sucunduri-Tapajós,suta,H_st_A14546_suta
INPA,A15208,,,Hypocnemis,striata,-3.35,-55.2,Para,pa,H_st_A15208_pa
INPA,A15210,,,Hypocnemis,striata,-3.35,-55.2,Para,pa,H_st_A15210_pa
INPA,A16571,,,Hypocnemis,striata,-5.083333333,-56.43333333,Para,pa,H_st_A16571_pa
INPA,A272,,,Hypocnemis,cantator,-6.016666667,-60.16666667,Aripuanã-Sucunduri,arsu,H_st_A272_arsu
INPA,A273,,,Hypocnemis,cantator,-6.016666667,-60.16666667,Aripuanã-Sucunduri,arsu,H_st_A273_arsu
INPA,A4899,,,Hypocnemis,striata,-4.673055556,-56.62305556,Sucunduri-Tapajós,suta,H_st_A4899_suta
INPA,A7597,,,Hypocnemis,striata,-4.781149,-56.459845,Para,pa,H_st_A7597_pa
INPA,A9955,,,Hypocnemis,striata,-4.766666667,-56.58333333,Para,suta,H_st_A9955_pa
MPEG,J364,GT067,,Hypocnemis,striata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,H_st_J364_roar
MPEG,J368,GT068,,Hypocnemis,striata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,H_st_J368_roar
MPEG,J370,GT069,,Hypocnemis,striata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,H_st_J370_roar
MPEG,J374,GDR267,,Hypocnemis,striata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,H_st_J374_roar
MPEG,J408,LJM244,,Hypocnemis,striata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,H_st_J408_roar
AMNH,J525,GDR317,261190,Hypocnemis,striata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,H_st_J525_arsu
AMNH,J530,GDR319,261196,Hypocnemis,striata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,H_st_J530_arsu
AMNH,J536,GT116,261202,Hypocnemis,striata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,H_st_J536_arsu
AMNH,J572,LJM285,261237,Hypocnemis,striata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,H_st_J572_arsu
AMNH,J621,GDR351,261288,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J621_roar
AMNH,J664,LJM304,261328,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J664_roar
AMNH,J665,LJM305,261329,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J665_roar
AMNH,J711,GDR380,261376,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J711_roar
AMNH,J762,MAR149,261432,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J762_roar
AMNH,J765,LJM322,261433,Hypocnemis,striata,-8.17761,-60.45314,Roosevelt-Aripuana,roar,H_st_J765_roar
MPEG,T10207,FPR071,,Hypocnemis,striata,-3.907,-58.40180556,Sucunduri-Tapajós,suta,H_st_T10207_suta
MPEG,T11900,PIME197,,Hypocnemis,striata,-5.571111111,-57.30641667,Sucunduri-Tapajós,suta,H_st_T11900_suta
MPEG,T12194,MAM007,,Hypocnemis,striata,-3.327916667,-56.36352778,Sucunduri-Tapajós,suta,H_st_T12194_suta
MPEG,T16744,PNSP028,,Hypocnemis,striata,-5.87775,-52.79538889,Para,pa,H_st_T16744_pa
MPEG,T17858,PPS146,,Hypocnemis,striata,-9.93807,-54.34161,Para,pa,H_st_T17858_pa
MPEG,T24564,ALC017,,Hypocnemis,striata,-2.783333333,-56,Sucunduri-Tapajós,suta,H_st_T24564_suta
MPEG,T7114,AMANA148,,Hypocnemis,cantator,-5.9035,-57.69169444,Sucunduri-Tapajós,suta,H_st_T7114_suta
