,0,1
M_ru_77750_suta,-84.85159,-230.09662
M_ru_78182_suta,-76.61167,-265.25494
M_ru_80819_arsu,-72.14357,-208.51509
M_ru_81347_arsu,-97.88755,-111.70256
M_ru_85426_arsu,-154.60327,-136.48137
M_ru_85919_suta,-220.7784,-108.80396
M_ru_A10311_pu,375.21448,13.12514
M_ru_A10329_pu,363.1109,34.681477
M_ru_A11834_suta,-106.327866,-146.82611
M_ru_A1380_pu,385.49384,-16.702898
M_ru_A15176_suta,-75.68967,-161.08453
M_ru_A16195_pa,-223.74501,267.04385
M_ru_A207_jigu,277.4261,183.49147
M_ru_A2741_pu,396.97842,44.728855
M_ru_A436_pu,368.60495,69.68143
M_ru_A440_pu,410.9398,24.15863
M_ru_A474_ma,-4613.8823,-610.9761
M_ru_A5487_suta,-154.91908,-108.26599
M_ru_A7875_In,169.62889,-143.90398
M_ru_A9235_pa,-184.81808,250.76663
M_ru_A9903_pa,-29.956522,-191.51503
M_ru_J265_ma,-588.8951,-1206.0835
M_ru_J640_roar,-70.88162,13.934502
M_ru_J676_roar,-88.09738,1.645196
M_ru_T10184_suta,-176.56166,-212.11232
M_ru_T11079_pa,-218.574,232.83452
M_ru_T11238_pa,-176.4178,180.61533
M_ru_T11780_suta,-184.125,-152.52298
M_ru_T12541_pa,-239.87022,163.91728
M_ru_T13253_ma,6505.435,1357.1705
M_ru_T14456_In,179.83897,-110.61403
M_ru_T14532_suta,-128.09164,-183.20462
M_ru_T14622_suta,-144.63173,-201.85214
M_ru_T1649_pa,-165.40742,204.16022
M_ru_T16553_pa,-222.24765,195.0057
M_ru_T19782_pa,-251.11697,137.79486
M_ru_T23245_In,162.58356,-87.40515
M_ru_T23246_In,195.7237,-146.27625
M_ru_T23416_In,209.43301,-76.68832
M_ru_T23478_In,206.08682,-102.289536
M_ru_T3164_ma,467.32172,271.02417
M_ru_T3228_jigu,293.74387,204.7897
M_ru_T368_ma,-9.89599,60.09869
M_ru_T381_ma,-32.87725,62.578545
M_ru_T476_ma,7.605042,-2.5646098
M_ru_T494_ma,-0.39440313,16.865047
M_ru_T6500_pa,-270.62305,214.00931
M_ru_T6577_pa,-241.72844,222.99937
M_ru_T753_suta,-145.41238,-231.57872
M_ru_T7634_jigu,268.36484,209.70511
