,0,1
P_ni_77876_suta,-132.87561,47.01242
P_ni_78155_suta,-123.389626,17.859514
P_ni_80034_pu,353.67233,214.50362
P_ni_80555_arsu,86.542725,-185.3729
P_ni_80684_arsu,-206.88402,30.22022
P_ni_80802_arsu,-154.95131,43.68014
P_ni_80874_arsu,2262.8438,-303.01074
P_ni_85430_arsu,-126.54629,68.46822
P_ni_85721_suta,-213.1831,-5.111307
P_ni_86072_arsu,-233.30263,44.395664
P_ni_A14342_pa,2.1430795,241.41045
P_ni_A15120_suta,-265.33847,-21.910957
P_ni_A15277_pa,-1775.6722,1694.6587
P_ni_A2418_ma,111.23523,-99.50151
P_ni_A3255_jigu,66.05989,-78.66527
P_ni_A542_ma,-40.221127,-224.69348
P_ni_A7066_pa,-33.438717,232.31226
P_ni_A7862_In,217.00269,262.11215
P_ni_A7911_In,551.4876,455.08832
P_ni_A7928_In,-1110.08,36.69298
P_ni_J210_ma,-14.537775,-166.60248
P_ni_J227_ma,-176.22078,-467.44162
P_ni_J260_ma,-29.985544,-173.85043
P_ni_J361_roar,52.202156,43.173443
P_ni_J363_roar,35.86649,62.746223
P_ni_J371_roar,30.973246,45.364414
P_ni_J373_roar,173.42755,-113.97647
P_ni_J381_roar,185.89224,-105.31799
P_ni_J385_roar,203.1367,-92.074104
P_ni_J389_roar,-433.5711,44.871403
P_ni_J417_roar,56.04542,65.22314
P_ni_J434_ma,5.8563895,-233.32652
P_ni_J461_ma,7.8887086,-172.45982
P_ni_J462_ma,16.106707,-244.07555
P_ni_J485_ma,-14.958893,-225.00702
P_ni_J551_arsu,-143.95157,10.989096
P_ni_J602_arsu,-148.0263,-72.30616
P_ni_J603_arsu,-2112.1282,19.819204
P_ni_J614_arsu,-175.94554,-3.7742667
P_ni_J617_arsu,-151.5724,-88.79937
P_ni_J684_roar,-48.259792,-115.44315
P_ni_J724_roar,-295.30554,-326.37598
P_ni_T10204_suta,-225.31262,-53.75097
P_ni_T10673_pa,1706.0956,-262.24072
P_ni_T10940_pa,37.964207,199.52408
P_ni_T10967_suta,-275.29147,-43.71753
P_ni_T11193_pa,-32.284336,204.70085
P_ni_T11222_pa,-58.65838,270.4206
P_ni_T11888_suta,-215.92482,-28.347841
P_ni_T12345_pa,-62.097652,222.1498
P_ni_T12854_pa,11.858608,213.71709
P_ni_T14543_suta,-245.98703,10.749928
P_ni_T15863_jigu,84.99321,-65.64229
P_ni_T15868_jigu,52.94862,-72.596596
P_ni_T15871_jigu,48.832558,-50.480244
P_ni_T15938_pu,219.2358,29.31136
P_ni_T1642_pa,-36.758106,247.71207
P_ni_T16698_suta,-278.12277,8.858286
P_ni_T18703_pa,11.4621105,198.06583
P_ni_T22153_jigu,66.42262,-105.11791
P_ni_T3261_jigu,20.152617,-50.466618
P_ni_T3609_pu,326.94888,2.1680624
P_ni_T3611_pu,303.7862,27.104319
P_ni_T369_ma,-24.133432,-122.77864
P_ni_T3817_pu,234.66124,78.59883
P_ni_T4043_pu,321.3128,31.127876
P_ni_T4051_pu,306.24185,-13.70673
P_ni_T4313_pu,187.39093,109.19253
P_ni_T4404_pu,213.20454,84.00446
P_ni_T443_ma,6.2463202,-88.610634
P_ni_T467_ma,-7.765286,-126.82818
P_ni_T5850_pu,198.78703,92.63461
P_ni_T5940_pu,246.58658,99.6103
P_ni_T5974_pu,251.29117,19.439348
P_ni_T6243_In,252.7376,59.370274
P_ni_T9076_suta,-234.05263,-1.3277204
