,0,1
T_ae_28095_In,-446.80637,188.25482
T_ae_75520_In,-463.53827,207.15123
T_ae_80508_arsu,133.4208,-143.6865
T_ae_80716_arsu,153.91718,-198.637
T_ae_81278_arsu,158.73314,-193.95306
T_ae_81338_arsu,-396.1341,210.84834
T_ae_82491_pu,-390.8453,200.79166
T_ae_82606_pu,-403.78406,189.88802
T_ae_82608_pu,-406.75842,184.07288
T_ae_85274_suta,165.5936,-164.70863
T_ae_86147_arsu,163.94647,-145.1128
T_ae_86229_arsu,149.14474,-207.77559
T_ae_86569_arsu,161.21027,-155.73412
T_ae_A15069_suta,115.94829,-185.16855
T_ae_A15279_pa,229.20778,496.7511
T_ae_A16041_suta,134.78293,-169.90025
T_ae_A21562_pu,-449.434,206.10464
T_ae_A2720_pu,-390.3473,218.86108
T_ae_A2833_pu,-397.1221,228.29288
T_ae_A317_jigu,68.37274,-262.6716
T_ae_A324_jigu,61.301144,-272.06293
T_ae_A3559_pu,-404.55795,205.0686
T_ae_A439_pu,-401.06494,221.03114
T_ae_A458_ma,68.65797,-202.37093
T_ae_A509_ma,58.026917,-208.46342
T_ae_A522_ma,107.913216,-191.87372
T_ae_A7968_In,-441.58075,204.53812
T_ae_A8087_In,-440.8976,218.43864
T_ae_J249_ma,45.42496,-220.45605
T_ae_J252_ma,70.61687,-213.66248
T_ae_J261_ma,64.49382,-194.84245
T_ae_J298_ma,46.444763,-199.55965
T_ae_J319_roar,81.71453,-195.99913
T_ae_J419_roar,95.75391,-217.16095
T_ae_J598_arsu,148.85648,-145.81009
T_ae_J616_arsu,121.012535,-158.00374
T_ae_J678_roar,82.96777,-220.80722
T_ae_J683_roar,98.21428,-199.34274
T_ae_T10229_suta,146.74141,-130.46
T_ae_T10679_pa,239.41116,502.5143
T_ae_T12313_pu,-410.0435,224.27614
T_ae_T13219_pu,-417.94025,231.08246
T_ae_T13278_ma,68.080246,-225.52951
T_ae_T13575_pa,247.33669,494.99457
T_ae_T14205_In,-453.43506,198.8775
T_ae_T14601_suta,149.05505,-156.40727
T_ae_T16625_suta,141.19887,-153.72816
T_ae_T16704_suta,149.16698,-167.68935
T_ae_T17307_pa,251.88881,502.69473
T_ae_T19420_pa,235.30252,490.76514
T_ae_T19436_suta,178.4848,-153.86789
T_ae_T2166_ma,73.40065,-235.2244
T_ae_T2207_ma,57.252678,-228.8938
T_ae_T24591_suta,233.70985,512.80554
T_ae_T3237_jigu,51.410065,-261.9292
T_ae_T3260_jigu,59.273346,-252.4102
T_ae_T3376_jigu,-453.59714,214.70708
T_ae_T4355_ma,56.24886,-219.20355
T_ae_T742_suta,133.41098,-160.52391
T_ae_T7941_suta,59.849594,-261.59302
T_ae_T8268_pa,243.42558,509.09396
