Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
LSUMNS,25484,,,Willisornis,poecilinotus,-2.733333333,-54.91527778,Para,pa,W_po_25484_pa
LSUMNS,80798,,,Willisornis,poecilinotus,-5.25175,-59.69472222,Aripuanã-Sucunduri,arsu,W_po_80798_arsu
LSUMNS,81036,,,Willisornis,poecilinotus,-5.799111111,-59.26861111,Aripuanã-Sucunduri,arsu,W_po_81036_arsu
LSUMNS,81265,,,Willisornis,poecilinotus,-6.163333333,-59.06805556,Sucunduri-Tapajós,suta,W_po_81265_suta
LSUMNS,85474,,,Willisornis,poecilinotus,-5.933333333,-59.17611111,Aripuanã-Sucunduri,arsu,W_po_85474_arsu
LSUMNS,86085,,,Willisornis,poecilinotus,-6.754722222,-59.08305556,Aripuanã-Sucunduri,arsu,W_po_86085_arsu
INPA,A101,,,Willisornis,poecilinotus,-7.217666667,-64.18272222,Purus,pu,W_po_A101_pu
INPA,A10701,,,Willisornis,poecilinotus,-4.816666667,-61,Purus,pu,W_po_A10701_pu
INPA,A12284,,,Willisornis,poecilinotus,-4.757777778,-56.3925,Para,pa,W_po_A12284_pa
INPA,A1381,,,Willisornis,poecilinotus,-4.15,-60.13333333,Purus,pu,W_po_A1381_pu
INPA,A14569,,,Willisornis,poecilinotus,-5.244444444,-56.9175,Para,pa,W_po_A14569_pa
INPA,A16227,,,Willisornis,poecilinotus,-4.738380556,-56.62173333,Para,pa,W_po_A16227_pa
INPA,A16298,,,Willisornis,poecilinotus,-4.495,-56.30027778,Sucunduri-Tapajós,suta,W_po_A16298_suta
INPA,A24413,,,Willisornis,poecilinotus,-8.456906,-61.642673,Machado,ma,W_po_A24413_ma
INPA,A265,,,Willisornis,poecilinotus,-9.528517,-65.300748,Purus,jigu,W_po_A265_pu
INPA,A2725,,,Willisornis,poecilinotus,-3.683333333,-60.31666667,Purus,pu,W_po_A2725_pu
INPA,A2749,,,Willisornis,poecilinotus,-4.416666667,-60.91666667,Purus,pu,W_po_A2749_pu
INPA,A2759,,,Willisornis,poecilinotus,-4.583333333,-61.25,Purus,pu,W_po_A2759_pu
INPA,A308,,,Willisornis,poecilinotus,-8.830523,-63.960493,Jiparaná-Guaporé,jigu,W_po_A308_jigu
INPA,A3264,,,Willisornis,poecilinotus,-9.266822,-64.400086,Jiparaná-Guaporé,jigu,W_po_A3264_jigu
INPA,A334,,,Willisornis,poecilinotus,-8.853298,-63.86298,Jiparaná-Guaporé,jigu,W_po_A334_jigu
