,0,1
W_po_25484_pa,118.319405,-12.311576
W_po_80798_arsu,-174.29903,67.78509
W_po_81036_arsu,-183.5967,87.801636
W_po_81265_suta,218.00815,54.100956
W_po_85474_arsu,-142.10695,39.961563
W_po_86085_arsu,-286.9649,127.28382
W_po_A101_pu,39.50781,180.19748
W_po_A10701_pu,57.48986,164.49608
W_po_A12284_pa,130.78413,21.001823
W_po_A1381_pu,18.518652,147.71796
W_po_A14569_pa,101.20858,-2.465407
W_po_A16227_pa,115.58169,13.518965
W_po_A16298_suta,204.95355,81.2848
W_po_A24413_ma,-43.86414,-72.13419
W_po_A265_pu,49.231373,-158.8506
W_po_A2725_pu,290.22028,116.588585
W_po_A2749_pu,4.9761953,172.6164
W_po_A2759_pu,58.707794,116.68495
W_po_A308_jigu,65.6905,-176.73676
W_po_A3264_jigu,77.72982,-164.29053
W_po_A334_jigu,48.02001,-177.77165
W_po_A368_jigu,56.342754,-139.01575
W_po_A4235_ma,-100.209595,-24.79992
W_po_A424_pu,41.349007,124.72114
W_po_A465_ma,-93.582245,-72.0806
W_po_A472_ma,-96.6775,-6.494684
W_po_A7346_pa,120.35979,-30.379835
W_po_A7736_pu,32.03609,151.68495
W_po_A815_In,1881.5875,302.03217
W_po_A882_ma,28.901575,-131.89594
W_po_A891_arsu,-199.27927,3.1949077
W_po_A894_ma,-128.11655,34.898647
W_po_A896_ma,-103.09541,24.541706
W_po_A898_ma,-90.770096,49.71502
W_po_A902_ma,-47.329243,-20.20819
W_po_A9697_pu,25.363811,170.46223
W_po_J163_ma,-187.22972,-214.55519
W_po_J192_ma,-11.67427,-35.787804
W_po_J202_ma,-101.96558,6.9580774
W_po_J209_ma,-33.696125,-30.50747
W_po_J222_ma,-36.900875,-42.11577
W_po_J226_ma,-136.12549,-137.33885
W_po_J302_ma,-27.76533,-7.4891367
W_po_J335_roar,-129.33466,-6.1058044
W_po_J340_roar,-80.514694,11.835009
W_po_J391_roar,325.78955,-212.51492
W_po_J421_roar,-120.05348,5.698021
W_po_J439_ma,-66.28153,-46.075344
W_po_J561_arsu,-171.95131,41.708603
W_po_J563_arsu,-171.7803,11.202885
W_po_J610_arsu,-154.69933,28.976715
W_po_J644_roar,-63.02852,-88.57391
W_po_J766_roar,-102.10767,57.256718
W_po_J768_roar,-64.78018,27.00758
W_po_T10153_suta,197.76442,67.55573
W_po_T10234_suta,215.96104,68.89198
W_po_T10694_pa,123.72705,-1.3347661
W_po_T11887_suta,201.90327,53.384594
W_po_T12400_pu,53.14974,182.7662
W_po_T12793_pa,135.94609,-20.034554
W_po_T13148_pu,-371.16992,178.7049
W_po_T15888_jigu,41.219765,-197.24716
W_po_T15889_jigu,32.31933,-174.4819
W_po_T2190_ma,-63.590416,-64.06307
W_po_T23485_In,164.43484,-374.9245
W_po_T3157_ma,-77.15627,-67.249695
W_po_T3645_In,20.556618,193.1756
W_po_T388_ma,2.7434993,-155.30347
W_po_T4097_In,-1660.5254,-301.9613
W_po_T7132_pa,95.13348,-26.149294
W_po_T7625_jigu,22.218874,-156.21182
W_po_T7627_jigu,32.596966,-150.04619
W_po_T9346_pa,143.51729,2.2829833
