,0,1
G_cy_80582_arsu,215.71336,6.7318397
G_cy_80701_arsu,230.01662,3.601119
G_cy_80801_arsu,228.05853,-0.64249736
G_cy_80826_arsu,241.77899,4.1592035
G_cy_81108_arsu,234.10947,-4.976012
G_cy_81118_arsu,218.46872,3.3883624
G_cy_82508_pu,-309.81256,84.80243
G_cy_85356_suta,203.32025,-14.532029
G_cy_85499_arsu,214.97052,-11.992042
G_cy_85678_arsu,227.17409,-21.25312
G_cy_86297_suta,235.48837,-27.466179
G_cy_86321_suta,240.75882,-2.1915967
G_cy_86458_suta,220.49919,-3.3452628
G_cy_86478_suta,226.94775,-5.258258
G_cy_J296_ma,39.340767,-342.10028
G_cy_J477_ma,35.195236,-341.69843
G_cy_J691_roar,20.620409,-342.2879
G_cy_J694_roar,19.518208,-337.7329
G_cy_J773_ma,42.712505,-344.83102
G_cy_T10897_pa,-80.83102,42.00792
G_cy_T11062_pa,-72.94786,44.70965
G_cy_T12275_pu,-320.00323,102.72904
G_cy_T12279_pu,-324.51398,95.964775
G_cy_T12385_In,90.32489,356.27893
G_cy_T12392_pu,-322.3471,99.75749
G_cy_T13184_pu,-308.32104,98.64744
G_cy_T13251_ma,31.169062,-342.32715
G_cy_T14558_suta,231.993,-26.014925
G_cy_T16693_suta,223.98947,-9.79597
G_cy_T16771_pa,-71.37191,30.829756
G_cy_T1705_pa,-64.40642,46.597095
G_cy_T18563_suta,249.61862,-19.071901
G_cy_T18620_suta,230.65547,-11.83044
G_cy_T18744_pa,-68.50549,38.873978
G_cy_T19429_pa,-85.22716,41.66733
G_cy_T19520_pa,-82.31113,54.96665
G_cy_T19765_pa,-79.83737,50.52064
G_cy_T23196_In,106.520485,364.6455
G_cy_T2497_pa,-82.13695,33.546726
G_cy_T26228_pu,-311.1231,94.87567
G_cy_T26229_pu,-313.02368,83.70164
G_cy_T26252_pu,-310.94705,89.61925
G_cy_T310_In,91.588554,352.9645
G_cy_T3343_jigu,102.16427,366.5951
G_cy_T3384_jigu,105.21223,359.33835
G_cy_T3385_jigu,107.1647,356.1156
G_cy_T363_ma,25.834305,-349.3589
G_cy_T364_ma,23.014856,-346.61026
G_cy_T6579_pa,-75.116135,36.428318
G_cy_T7636_In,99.76772,363.08273
G_cy_T9133_pa,-74.78523,39.985664
