"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"
"G_cy_80582_arsu"	0	0.094970712	0.09327233	0.097171675	0.092665765	0.095577276	0.170860629	0.095178677	0.093255	0.093844234	0.093185678	0.096911719	0.093358982	0.095490624	0.161606183	0.161103601	0.156580361	0.160999619	0.163859138	0.167550518	0.167169249	0.172766975	0.172316384	0.193892759	0.172056428	0.173009601	0.159578524	0.095785241	0.096981041	0.173061592	0.176891616	0.093601608	0.094537451	0.168382378	0.167862466	0.168971613	0.168573013	0.203459152	0.170999272	0.173980105	0.176059755	0.171345881	0.188901598	0.201691449	0.204706943	0.201795432	0.162351392	0.164552355	0.169370212	0.201362171	0.169300891
"G_cy_80701_arsu"	0.094970712	0	0.092752418	0.095958546	0.093566947	0.094364147	0.173702818	0.092995043	0.092111192	0.095750581	0.09242314	0.094624103	0.09283907	0.094693425	0.165106929	0.161762157	0.159491872	0.163356556	0.166042771	0.169352882	0.169976777	0.175262556	0.174465356	0.194551315	0.174759974	0.172281723	0.161970122	0.094606773	0.094346816	0.174690652	0.179248553	0.093913556	0.093220339	0.170635333	0.169734151	0.170462029	0.169924786	0.203597796	0.173564175	0.174881287	0.177376867	0.173980105	0.19184777	0.201552806	0.205504142	0.203736439	0.164812312	0.166077432	0.171831132	0.201466154	0.169474195
"G_cy_80801_arsu"	0.09327233	0.092752418	0	0.099216665	0.094814738	0.098939378	0.174222731	0.095282659	0.094745416	0.098038196	0.094988042	0.095629268	0.096062528	0.094797407	0.166320058	0.16557485	0.161328897	0.164639007	0.168746317	0.17254168	0.171397872	0.176614329	0.176891616	0.195625802	0.176908946	0.175158573	0.164188416	0.096721084	0.098679422	0.177983432	0.181848116	0.097552944	0.094225503	0.173026931	0.172992271	0.174101418	0.172628332	0.206474646	0.174915947	0.178416693	0.177758137	0.174742643	0.193060899	0.204949568	0.208866244	0.206578628	0.16803577	0.167429205	0.174811965	0.205694777	0.173009601
"G_cy_80826_arsu"	0.097171675	0.095958546	0.099216665	0	0.09653045	0.097604936	0.173442862	0.095369311	0.095005372	0.098020866	0.094416138	0.094537451	0.09694638	0.097830231	0.167134588	0.163581852	0.162524696	0.164101764	0.167862466	0.171692489	0.168503691	0.174482687	0.174794635	0.195192541	0.175123913	0.174448026	0.163651173	0.09490139	0.098419466	0.175158573	0.179023257	0.094936051	0.095351981	0.170236734	0.170202073	0.171588506	0.17212575	0.203303178	0.173165575	0.17462133	0.178156736	0.172714984	0.190998579	0.203337839	0.206145368	0.205486812	0.165696163	0.168971613	0.170115421	0.203597796	0.169144917
"G_cy_81108_arsu"	0.092665765	0.093566947	0.094814738	0.09653045	0	0.096322484	0.172611001	0.095889224	0.094173512	0.094589442	0.090326159	0.096305154	0.094728086	0.09450279	0.162628678	0.158452047	0.158885307	0.16063568	0.163148591	0.167463866	0.16722124	0.170392707	0.172264393	0.194291359	0.171588506	0.171120585	0.158278743	0.094728086	0.096478458	0.173494853	0.176770303	0.094554781	0.093930886	0.167983779	0.168884961	0.168573013	0.168659665	0.2033725	0.170046099	0.172922949	0.175973103	0.171848463	0.189300198	0.199837094	0.204828256	0.203199196	0.161294236	0.164223077	0.169976777	0.202280684	0.167273231
"G_cy_81118_arsu"	0.095577276	0.094364147	0.098939378	0.097604936	0.096322484	0	0.172091089	0.097102353	0.096114519	0.09777824	0.091331323	0.096998371	0.094277495	0.095681259	0.166129424	0.163131261	0.160167758	0.164032443	0.166718658	0.169127587	0.169543517	0.172645662	0.1742054	0.19307823	0.173876122	0.172888288	0.16351253	0.091435306	0.097864892	0.175089252	0.178122075	0.093341652	0.094589442	0.169716821	0.169474195	0.170860629	0.171016603	0.202505979	0.172645662	0.175279886	0.176458355	0.172195071	0.189716128	0.201916745	0.205764098	0.203615126	0.165869467	0.169144917	0.170392707	0.201622127	0.168832969
"G_cy_82508_pu"	0.170860629	0.173702818	0.174222731	0.173442862	0.172611001	0.172091089	0	0.173148244	0.170011438	0.172021767	0.170531351	0.172281723	0.16886763	0.174292052	0.152958303	0.14996014	0.14914561	0.154188763	0.152126443	0.165037607	0.165280233	0.109528266	0.107413954	0.143027971	0.106218155	0.09944196	0.15120793	0.17008076	0.173980105	0.168711656	0.173477522	0.170219403	0.172264393	0.163963121	0.163755156	0.167949118	0.165817476	0.156199092	0.167758483	0.093410974	0.024401234	0.049079755	0.141086964	0.152282417	0.157100274	0.1565457	0.152975633	0.155765831	0.164985616	0.152091782	0.16599078
"G_cy_85356_suta"	0.095178677	0.092995043	0.095282659	0.095369311	0.095889224	0.097102353	0.173148244	0	0.093497626	0.095542616	0.094676094	0.096114519	0.095854563	0.095975876	0.165245572	0.162108766	0.159041281	0.163668504	0.165418876	0.169110256	0.168278396	0.173945444	0.173910783	0.192575647	0.174759974	0.174569339	0.161103601	0.094676094	0.095455963	0.173720148	0.178901944	0.09367093	0.092145853	0.168902291	0.170046099	0.169942116	0.168365048	0.202627292	0.171276559	0.175297217	0.177723476	0.173529514	0.190773283	0.201691449	0.205989394	0.203701778	0.165713493	0.165072268	0.170618003	0.202159371	0.169578178
"G_cy_85499_arsu"	0.093255	0.092111192	0.094745416	0.095005372	0.094173512	0.096114519	0.170011438	0.093497626	0	0.09202454	0.092197844	0.096339815	0.095629268	0.094814738	0.16065301	0.157204256	0.156701674	0.160081106	0.162108766	0.16843437	0.167394544	0.172021767	0.171848463	0.193459499	0.170167412	0.17049669	0.160912967	0.094277495	0.097033032	0.173009601	0.176285051	0.094936051	0.092405809	0.168919622	0.167325223	0.16843437	0.168555683	0.2033725	0.170115421	0.170981942	0.173754809	0.169075595	0.189126893	0.202748605	0.205556133	0.203511143	0.160497036	0.162004783	0.170358047	0.202627292	0.167758483
"G_cy_85678_arsu"	0.093844234	0.095750581	0.098038196	0.098020866	0.094589442	0.09777824	0.172021767	0.095542616	0.09202454	0	0.090672767	0.09654778	0.095247998	0.095646598	0.163495199	0.160601019	0.158469377	0.161294236	0.163217913	0.169474195	0.167498527	0.173928113	0.173234897	0.194637967	0.173286888	0.172264393	0.161432879	0.09410419	0.096686423	0.172732314	0.177532841	0.095698589	0.095213337	0.168919622	0.167325223	0.168988943	0.168694326	0.2033725	0.170219403	0.172888288	0.176181068	0.171675159	0.19065197	0.203580465	0.206769263	0.204343004	0.162646009	0.165401546	0.1692489	0.202869918	0.168486361
"G_cy_86297_suta"	0.093185678	0.09242314	0.094988042	0.094416138	0.090326159	0.091331323	0.170531351	0.094676094	0.092197844	0.090672767	0	0.095438633	0.091712592	0.093601608	0.162732661	0.159595855	0.157498874	0.159561194	0.162732661	0.168919622	0.168538352	0.171467194	0.172576341	0.193320855	0.171796472	0.170947281	0.158902638	0.092821739	0.095403972	0.173286888	0.177532841	0.092405809	0.092648435	0.167879796	0.168191744	0.168711656	0.169734151	0.203268518	0.170704655	0.172299054	0.174378704	0.170184742	0.190132058	0.201466154	0.206526637	0.201951405	0.161536862	0.162178087	0.169942116	0.201518145	0.168278396
"G_cy_86321_suta"	0.096911719	0.094624103	0.095629268	0.094537451	0.096305154	0.096998371	0.172281723	0.096114519	0.096339815	0.09654778	0.095438633	0	0.096409137	0.098090188	0.163027278	0.16186614	0.158937299	0.160999619	0.165280233	0.169907456	0.169872795	0.17339087	0.175609164	0.195625802	0.174933278	0.174118748	0.161415549	0.095473294	0.096842397	0.174032096	0.179803126	0.09529999	0.094398808	0.169491525	0.169422204	0.170046099	0.171484524	0.205296177	0.171207237	0.173425531	0.176926276	0.172073758	0.190773283	0.204013726	0.207722436	0.205469481	0.163495199	0.165314894	0.170271394	0.202298014	0.169647499
