,0,1
H_oc_A311_jigu,-79.00331,5.767891
H_oc_T15847_jigu,-79.73589,-4.7472625
H_oc_T355_jigu,121.48813,-195.60478
H_pe_A24346_pu,-33.497467,161.84515
H_ro_A409_ma,18.53046,-160.62857
H_ro_A410_ma,49.955753,122.3679
H_ro_A521_ma,610.059,-165.72156
H_ro_A547_ma,111.36313,-172.06406
H_ro_A551_ma,20.278757,118.730316
H_ro_J213_ma,120.44202,-179.52657
H_ro_J305_ma,161.25371,-149.01274
H_ro_J508_ma,171.1621,-140.2348
H_ro_J774_ma,191.39478,-140.90576
H_ro_J775_ma,176.95352,-152.44693
H_ro_J796_ma,98.10262,-166.109
H_ro_T1842_ma,185.68127,-166.48697
H_ro_T366_ma,151.44008,-117.2101
H_ro_T385_ma,134.05241,-169.032
H_ro_T471_ma,161.86557,-112.327415
H_st_77860_arsu,30.447208,87.768524
H_st_78249_arsu,4.74681,125.07849
H_st_80727_arsu,0.39071417,100.52292
H_st_80800_arsu,39.219776,151.60411
H_st_81143_arsu,235.74323,176.78828
H_st_81279_suta,14.71763,170.02391
H_st_85680_arsu,27.553337,249.96977
H_st_85970_arsu,13.190576,139.30083
H_st_86405_suta,-7.685395,125.11327
H_st_A11597_pa,-13.95763,-100.85047
H_st_A14546_suta,14.032062,82.30791
H_st_A15208_pa,-15.045254,-113.96751
H_st_A15210_pa,-4.697803,-124.84988
H_st_A16571_pa,-69.04419,133.22289
H_st_A272_arsu,220.9834,202.75546
H_st_A273_arsu,93.87116,187.49199
H_st_A4899_suta,-52.205826,126.84456
H_st_A7597_pa,0.12463947,-111.55471
H_st_A9955_pa,-47.8853,102.47942
H_st_J364_roar,-205.08258,-92.775734
H_st_J368_roar,-216.62943,-38.289238
H_st_J370_roar,-183.20287,-93.65153
H_st_J374_roar,-169.60602,-83.68138
H_st_J408_roar,-170.01775,-110.80637
H_st_J525_arsu,65.852554,177.06116
H_st_J530_arsu,79.5985,174.40134
H_st_J536_arsu,75.16439,186.83116
H_st_J572_arsu,227.90067,188.76727
H_st_J621_roar,-192.80988,-80.21917
H_st_J664_roar,-204.71819,-33.944595
H_st_J665_roar,-157.63896,-84.84228
H_st_J711_roar,-166.26682,-64.64724
H_st_J762_roar,-208.56554,-21.832989
H_st_J765_roar,-187.37929,-109.670616
H_st_T10207_suta,-4.3922477,65.79288
H_st_T11900_suta,-21.965351,120.38561
H_st_T12194_suta,-100.67277,140.39438
H_st_T16744_pa,-26.044136,-126.8003
H_st_T17858_pa,-10.386005,146.16637
H_st_T24564_suta,-42.1712,92.2125
H_st_T7114_suta,-60.242256,86.08349
