Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
LSUMNS,77750,,,Malacoptila,rufa,-7.3475,-58.15722222,Sucunduri-Tapajós,suta,M_ru_77750_suta
LSUMNS,78182,,,Malacoptila,rufa,-7.513333333,-58.25361111,Sucunduri-Tapajós,suta,M_ru_78182_suta
LSUMNS,80819,,,Malacoptila,rufa,-5.8025,-59.25625,Aripuanã-Sucunduri,arsu,M_ru_80819_arsu
LSUMNS,81347,,,Malacoptila,rufa,-4.050833333,-59.11527778,Aripuanã-Sucunduri,arsu,M_ru_81347_arsu
LSUMNS,85426,,,Malacoptila,rufa,-5.950555556,-59.17388889,Aripuanã-Sucunduri,arsu,M_ru_85426_arsu
LSUMNS,85919,,,Malacoptila,rufa,-6.755555556,-59.07555556,Sucunduri-Tapajós,suta,M_ru_85919_suta
INPA,A10311,,,Malacoptila,rufa,-4.983333333,-61.56666667,Purus,pu,M_ru_A10311_pu
INPA,A10329,,,Malacoptila,rufa,-4.983333333,-61.56666667,Purus,pu,M_ru_A10329_pu
INPA,A11834,,,Malacoptila,rufa,-4.693533333,-56.63848889,Sucunduri-Tapajós,suta,M_ru_A11834_suta
INPA,A1380,,,Malacoptila,rufa,-4.15,-60.13333333,Purus,pu,M_ru_A1380_pu
INPA,A15176,,,Malacoptila,rufa,-3.316666667,-55.33333333,Sucunduri-Tapajós,suta,M_ru_A15176_suta
INPA,A16195,,,Malacoptila,rufa,-4.881538889,-56.44619167,Para,pa,M_ru_A16195_pa
INPA,A207,,,Malacoptila,rufa,-9.528517,-65.300748,Jiparaná-Guaporé,jigu,M_ru_A207_jigu
INPA,A2741,,,Malacoptila,rufa,-4.416666667,-60.91666667,Purus,pu,M_ru_A2741_pu
INPA,A436,,,Malacoptila,rufa,-5.241666667,-60.71666667,Purus,pu,M_ru_A436_pu
INPA,A440,,,Malacoptila,rufa,-5.241666667,-60.71666667,Purus,pu,M_ru_A440_pu
INPA,A474,,,Malacoptila,rufa,-6.3,-60.4,Machado,ma,M_ru_A474_ma
INPA,A5487,,,Malacoptila,rufa,-4.495,-56.30027778,Sucunduri-Tapajós,suta,M_ru_A5487_suta
INPA,A7875,,,Malacoptila,rufa,-4.983333333,-62.96666667,in,In,M_ru_A7875_In
INPA,A9235,,,Malacoptila,rufa,-5.083333333,-56.43333333,Para,pa,M_ru_A9235_pa
INPA,A9903,,,Malacoptila,rufa,-4.716666667,-56.43333333,Para,suta,M_ru_A9903_pa
MPEG,J265,LJM215,,Malacoptila,rufa,-7.56722,-60.68817,Machado,ma,M_ru_J265_ma
AMNH,J640,LJM300,261306,Malacoptila,rufa,-8.17761,-60.45314,Roosevelt-Aripuana,roar,M_ru_J640_roar
AMNH,J676,LJM307,261342,Malacoptila,rufa,-8.17761,-60.45314,Roosevelt-Aripuana,roar,M_ru_J676_roar
MPEG,T10184,FPR048,,Malacoptila,rufa,-3.946111111,-58.45611111,Sucunduri-Tapajós,suta,M_ru_T10184_suta
MPEG,T11079,PIME380,,Malacoptila,rufa,-5.03805,-55.5189,Para,pa,M_ru_T11079_pa
MPEG,T11238,PIME276,,Malacoptila,rufa,-4.540833333,-55.21063889,Para,pa,M_ru_T11238_pa
MPEG,T11780,PIME152,,Malacoptila,rufa,-6.24685,-57.87498,Sucunduri-Tapajós,suta,M_ru_T11780_suta
MPEG,T12541,PIME385,,Malacoptila,rufa,-7.12922,-55.42517,Para,pa,M_ru_T12541_pa
MPEG,T13253,OM203,,Malacoptila,rufa,-8.909138889,-62.00008333,Machado,ma,M_ru_T13253_ma
MPEG,T14456,AMA610,,Malacoptila,rufa,-4.530277778,-71.61625,in,In,M_ru_T14456_In
MPEG,T14532,ARA006,,Malacoptila,rufa,-3.15,-55.81666667,Sucunduri-Tapajós,suta,M_ru_T14532_suta
MPEG,T14622,ARA096,,Malacoptila,rufa,-2.783333333,-55.6,Sucunduri-Tapajós,suta,M_ru_T14622_suta
MPEG,T1649,WM385,,Malacoptila,rufa,-3.356111111,-54.94916667,Para,pa,M_ru_T1649_pa
MPEG,T16553,MF014,,Malacoptila,rufa,-4.468861111,-55.85030556,Para,pa,M_ru_T16553_pa
MPEG,T19782,JAT(C)325,,Malacoptila,rufa,-5.430744444,-56.90457778,Para,pa,M_ru_T19782_pa
MPEG,T23245,JUT060,,Malacoptila,rufa,-3.271138889,-67.32516667,in,In,M_ru_T23245_In
MPEG,T23246,JUT061,,Malacoptila,rufa,-3.271138889,-67.32516667,in,In,M_ru_T23246_In
MPEG,T23416,JUT238,,Malacoptila,rufa,-3.223472222,-67.44175,in,In,M_ru_T23416_In
MPEG,T23478,JUT303,,Malacoptila,rufa,-3.223333333,-67.44166667,in,In,M_ru_T23478_In
MPEG,T3164,MPDS759,,Malacoptila,rufa,-6.55,-62.05,Machado,ma,M_ru_T3164_ma
MPEG,T3228,OP098,,Malacoptila,rufa,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,M_ru_T3228_jigu
MPEG,T368,MAR063,,Malacoptila,rufa,-8.687305556,-61.40816667,Machado,ma,M_ru_T368_ma
MPEG,T381,MAR076,,Malacoptila,rufa,-8.695666667,-61.40816667,Machado,ma,M_ru_T381_ma
MPEG,T476,MAR187,,Malacoptila,rufa,-8.650361111,-61.42013889,Machado,ma,M_ru_T476_ma
MPEG,T494,MAR218,,Malacoptila,rufa,-8.650361111,-61.42013889,Machado,ma,M_ru_T494_ma
MPEG,T6500,TM013,,Malacoptila,rufa,-6.033333333,-55.31666667,Para,pa,M_ru_T6500_pa
MPEG,T6577,TM049,,Malacoptila,rufa,-5.65,-55.51666667,Para,pa,M_ru_T6577_pa
MPEG,T753,JRT100,,Malacoptila,rufa,-2.466666667,-56,Sucunduri-Tapajós,suta,M_ru_T753_suta
MPEG,T7634,OP097,,Malacoptila,rufa,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,M_ru_T7634_jigu
