,0,1
M_ru_77750_suta,-125.76756,-46.427895
M_ru_78182_suta,-120.80563,-67.260056
M_ru_80819_arsu,-145.50792,-89.662254
M_ru_81347_arsu,-176.62091,-72.4109
M_ru_85426_arsu,-146.51794,-110.87217
M_ru_85919_suta,-105.63736,-94.8152
M_ru_A10311_pu,201.15004,-129.08873
M_ru_A10329_pu,197.34804,-176.75749
M_ru_A11834_suta,-84.64059,-38.32955
M_ru_A1380_pu,213.92719,-153.16092
M_ru_A15176_suta,-49.386097,-74.76655
M_ru_A16195_pa,52.232277,221.15282
M_ru_A207_jigu,233.79918,-76.03991
M_ru_A2741_pu,188.91447,-149.56326
M_ru_A436_pu,171.25699,-133.45764
M_ru_A440_pu,166.09126,-162.4011
M_ru_A474_ma,168.80334,-51.69571
M_ru_A5487_suta,-22.246504,-80.94543
M_ru_A7875_In,-221.64307,148.81036
M_ru_A9235_pa,1.5979477,214.45477
M_ru_A9903_pa,-76.06645,-69.38115
M_ru_J265_ma,173.35973,-26.912754
M_ru_J640_roar,-79.84885,-228.81262
M_ru_J676_roar,-89.68187,-211.53581
M_ru_T10184_suta,-28.173767,-9.405476
M_ru_T11079_pa,13.853139,250.31514
M_ru_T11238_pa,14.218595,282.26028
M_ru_T11780_suta,-73.91345,1.0222383
M_ru_T12541_pa,70.72901,250.63525
M_ru_T13253_ma,193.46307,-50.914284
M_ru_T14456_In,-227.09373,118.25086
M_ru_T14532_suta,-76.14694,-93.198654
M_ru_T14622_suta,-40.51456,-41.596615
M_ru_T1649_pa,35.37715,202.29321
M_ru_T16553_pa,37.855247,255.7594
M_ru_T19782_pa,88.784294,229.45038
M_ru_T23245_In,-250.7946,160.46402
M_ru_T23246_In,-243.54294,137.51991
M_ru_T23416_In,-268.39923,134.74614
M_ru_T23478_In,-253.73628,111.67776
M_ru_T3164_ma,194.54138,-25.10091
M_ru_T3228_jigu,250.2124,-58.21755
M_ru_T368_ma,-76.806755,-292.65173
M_ru_T381_ma,-101.13656,-291.33823
M_ru_T476_ma,24.223782,592.478
M_ru_T494_ma,-79.793495,-263.0262
M_ru_T6500_pa,56.796165,272.97818
M_ru_T6577_pa,27.095749,229.66321
M_ru_T753_suta,-61.334003,-42.123955
M_ru_T7634_jigu,255.53888,-80.128654
