"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"M_ru_77750_suta"	0.0	0.0418285221012009	0.04076218041485769	0.04304719831416457	0.041054154924213576	0.04272983471703862	0.1187701525884175	0.118605123517912	0.042463249295452817	0.11949374158986467	0.042679056541498464	0.10371442354076219	0.11968415974814024	0.11964607611648513	0.11974763246756544	0.11898595983446315	0.11378119684159749	0.043326478279635414	0.12695813339426715	0.10547896514078249	0.043529590981796026	0.11369233503440221	0.04553532891563206	0.04582730342498794	0.04281869652423388	0.10432376164724401	0.1056820778429431	0.04276791834869373	0.10302891817097011	0.11202934978546221	0.1273389697108183	0.04223474750552213	0.042222052961637085	0.10390484169903776	0.10328280904867088	0.10643105593216036	0.1254474826719476	0.12474928275827049	0.12589179170792394	0.12609490441008456	0.11480945489628558	0.1180719526747404	0.051019371873968565	0.0516287099804504	0.05077817554015284	0.05020692106532612	0.10550435422855257	0.10555513240409273	0.04213319115444182	0.11851626171071673
"M_ru_78182_suta"	0.0418285221012009	0.0	0.04255211110264808	0.04255211110264808	0.04071140223931754	0.04289486378754411	0.11835123264021123	0.11844009444740651	0.04316144920912992	0.11889709802726788	0.044164318176047934	0.10380328534795745	0.12015385787188666	0.11955721430928987	0.11907482164165842	0.1183385380963262	0.11376850229771245	0.04397390001777236	0.12699621702592226	0.10508543428034631	0.04295833650696931	0.11398430954375809	0.04732525960342245	0.04650011425089497	0.04298372559473938	0.10349861629471653	0.10523776880696677	0.04369462005230152	0.10273694366161423	0.11254982608474877	0.1277325005712545	0.041968162083936326	0.04299642013862442	0.10409525985731333	0.10306700180262524	0.1055805214918628	0.12617107167339478	0.1252189808820169	0.1263107116561302	0.12615837712950972	0.11466981491355016	0.11851626171071673	0.05110823368116384	0.05108284459339376	0.050765480996267806	0.050828953715692994	0.10526315789473684	0.10523776880696677	0.04341534008683068	0.11865590169345215
"M_ru_80819_arsu"	0.04076218041485769	0.04255211110264808	0.0	0.04125726762637418	0.0387056643054815	0.04124457308248915	0.1176403381826491	0.11750069819991368	0.041308045801914335	0.11841470535963643	0.04106684946809861	0.10260999822276386	0.1194683525020946	0.11866859623733719	0.11836392718409627	0.11752608728768375	0.11249904790920862	0.041841216645085944	0.12610759895396959	0.1044507070860944	0.04072409678320258	0.11233401883870313	0.04559880163505725	0.0458146088811029	0.04118110036306395	0.1030923908903953	0.10467920887602508	0.04173966029400564	0.10184832558966156	0.11084875720415366	0.12661538070937112	0.04057176225658212	0.040863736765938	0.10310508543428035	0.10227994008175287	0.10517429608754157	0.12482545002158073	0.12392413740574301	0.12496509000431615	0.12516820270647674	0.11413664407037855	0.1182369817452459	0.04943255388833879	0.04986416838043009	0.05063853555741742	0.0496356665904994	0.10414603803285348	0.10427298347170386	0.042044329347246556	0.11794500723589002
"M_ru_81347_arsu"	0.04304719831416457	0.04255211110264808	0.04125726762637418	0.0	0.04157463122350014	0.04205702389113159	0.11797039632366009	0.11780536725315459	0.04298372559473938	0.11795770177977505	0.04205702389113159	0.10273694366161423	0.11982379973087567	0.11892248711503796	0.11869398532510726	0.11831314900855612	0.11341305506893137	0.04278061289257877	0.1265138243582908	0.1041206489450834	0.042450554751567775	0.11319724782288572	0.04590347068829817	0.04568766344225252	0.04270444562926854	0.10235610734506309	0.10399370350623302	0.04298372559473938	0.10194988194074187	0.11191509889049686	0.1273770533424734	0.041231878538604105	0.04241247111991266	0.1031558636098205	0.10243227460837333	0.1045141798055196	0.12573945718130347	0.12471119912661538	0.12559981719856805	0.12590448625180897	0.11431436768476909	0.1183385380963262	0.0496356665904994	0.050600451925762305	0.050333866504176504	0.050600451925762305	0.10394292533069287	0.10439992891055425	0.042374387488257545	0.11830045446467108
"M_ru_85426_arsu"	0.041054154924213576	0.04071140223931754	0.0387056643054815	0.04157463122350014	0.0	0.040470205905501815	0.11612968746032955	0.11576154568766345	0.04040673318607663	0.11670094193515627	0.040622540432122274	0.10148018381699546	0.11805925813085535	0.11659938558407597	0.11682788737400665	0.1158123238632036	0.11060756087033793	0.04152385304795999	0.12444461370502957	0.10291466727600478	0.03994972960621525	0.11051869906314266	0.045382994389011604	0.04453245994871404	0.040889125853708075	0.10183563104577653	0.10354939447025668	0.04091451494147815	0.1005661766572727	0.10959199735953487	0.12500317363597127	0.04071140223931754	0.04014014776449082	0.10189910376520171	0.10104856932490415	0.10381597989184249	0.12351791200142179	0.12238809759565339	0.12350521745753675	0.12363216289638713	0.11204204432934725	0.11632010561860512	0.04982608474877498	0.04974991748546475	0.05032117196029147	0.048505852184731	0.10339705994363622	0.10324472541701576	0.04160002031127022	0.11635818925026024
"M_ru_85919_suta"	0.04272983471703862	0.04289486378754411	0.04124457308248915	0.04205702389113159	0.040470205905501815	0.0	0.11831314900855612	0.11878284713230254	0.042336303856602434	0.1188336253078427	0.04293294741919923	0.10346053266306142	0.1197349379236804	0.11929062888770406	0.11911290527331353	0.11852895625460177	0.11281641150633458	0.04340264554294564	0.1260441262345444	0.1049204052098408	0.04256480564653312	0.11282910605021962	0.046728616040825656	0.046639754233630384	0.0421585802422119	0.10340975448752127	0.10502196156092111	0.043174143753014954	0.10297813999542997	0.11195318252215197	0.12723741335973798	0.04149846396018991	0.042856780155889	0.10372711808464721	0.10318125269759057	0.10561860512351791	0.1253459263208673	0.1244192246172595	0.12586640262015386	0.12573945718130347	0.11442861857973444	0.11842739990352147	0.04990225201208521	0.04972452839769467	0.050524284662452075	0.04987686292431513	0.1050473506486912	0.1050473506486912	0.042107802066671744	0.11854165079848682
"M_ru_A10311_pu"	0.1187701525884175	0.11835123264021123	0.1176403381826491	0.11797039632366009	0.11612968746032955	0.11831314900855612	0.0	0.0390357224464925	0.11847817807906162	0.041473074872419836	0.11668824739127123	0.12526975905755705	0.06479295198923503	0.038832609744331885	0.039822784167364865	0.04015284230837586	0.06871556604971184	0.11781806179703963	0.08991545433772564	0.1261202934978546	0.1180719526747404	0.06862670424251657	0.11680249828623658	0.11706908370782237	0.11842739990352147	0.12603143169065936	0.12703430065757737	0.11814811993805062	0.124254195546754	0.06439942112879884	0.08892527991469266	0.11779267270926956	0.11689136009343185	0.12543478812806255	0.12559981719856805	0.1277325005712545	0.08787163277223449	0.08730037829740778	0.08773199278949907	0.08821438545713052	0.06832203518927565	0.06452636656764922	0.11225785157539289	0.11111534262573945	0.11039175362429228	0.1118262370833016	0.1262726280244751	0.12670424251656637	0.11690405463731689	0.06405666844390281
"M_ru_A10329_pu"	0.118605123517912	0.11844009444740651	0.11750069819991368	0.11780536725315459	0.11576154568766345	0.11878284713230254	0.0390357224464925	0.0	0.11846548353517658	0.04171427120623556	0.11654860740853581	0.12472389367050042	0.06612587909716404	0.04080026404651281	0.040317871378881355	0.04095259857313327	0.0688044278569071	0.11808464721862544	0.09129915962119481	0.12562520628633814	0.11767842181430421	0.0688679005763323	0.11645974560134055	0.11654860740853581	0.11841470535963643	0.12566328991799325	0.12646304618275064	0.11879554167618757	0.12363216289638713	0.06471678472592479	0.09074059969025312	0.11770381090207428	0.11725950186609795	0.125244369969787	0.12525706451367202	0.12672963160433645	0.08933150531901389	0.08891258537080762	0.08959809074059968	0.08995353796938076	0.06841089699647092	0.06563079188564755	0.11188970980272679	0.11095031355523396	0.11042983725594739	0.11135653895955518	0.12580292990072867	0.12625993348059003	0.11701830553228222	0.06490720288420038
"M_ru_A11834_suta"	0.042463249295452817	0.04316144920912992	0.041308045801914335	0.04298372559473938	0.04040673318607663	0.042336303856602434	0.11847817807906162	0.11846548353517658	0.0	0.11808464721862544	0.040660624063777386	0.10342244903140631	0.11979841064310559	0.1192017670805088	0.11894787620280803	0.11859242897402697	0.11277832787467947	0.04140960215299464	0.1259806535151192	0.10531393607027699	0.04158732576738518	0.11340036052504633	0.04709675781349176	0.04545916165232183	0.04036864955442151	0.1038540635234976	0.10511082336811638	0.042120496610556786	0.10294005636377485	0.11191509889049686	0.1271739406403128	0.03988625688679006	0.04121918399471907	0.10417142712062355	0.1032193363292457	0.10573285601848326	0.12556173356691294	0.12453347551222485	0.12559981719856805	0.12559981719856805	0.11456825856246985	0.1183385380963262	0.049610277502729325	0.05070200827684261	0.05015614288978597	0.04994033564374032	0.10511082336811638	0.10549165968466753	0.041384213065224565	0.11863051260568208
"M_ru_A1380_pu"	0.11949374158986467	0.11889709802726788	0.11841470535963643	0.11795770177977505	0.11670094193515627	0.1188336253078427	0.041473074872419836	0.04171427120623556	0.11808464721862544	0.0	0.11746261456825856	0.12622184984893492	0.0663797699748648	0.041612714855155254	0.04206971843501663	0.040394038642191585	0.06926143143676848	0.11803386904308528	0.09157843958666564	0.12692004976261204	0.11874476350064742	0.0694010714195039	0.11750069819991368	0.11682788737400665	0.11884631985172772	0.1262726280244751	0.1273770533424734	0.11960799248483002	0.12490161728489095	0.06629090816766954	0.09160382867443573	0.11805925813085535	0.11794500723589002	0.12658999162160103	0.12617107167339478	0.12810064234392057	0.09004239977657602	0.08997892705715084	0.0905628760758626	0.09079137786579328	0.06874095513748191	0.0665447990453703	0.11239749155812831	0.11130576078401504	0.11058217178256785	0.11227054611927793	0.1270469952014624	0.12745322060578362	0.11772919998984437	0.06604971183385382
