Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
LSUMNS,77876,,,Phlegopsis,nigromaculata,-7.3475,-58.15722222,Sucunduri-Tapajós,suta,P_ni_77876_suta
LSUMNS,78155,,,Phlegopsis,nigromaculata,-7.513333333,-58.25361111,Sucunduri-Tapajós,suta,P_ni_78155_suta
LSUMNS,80034,,,Phlegopsis,nigromaculata,-10.54,-66.07,Purus,pu,P_ni_80034_pu
LSUMNS,80555,,,Phlegopsis,nigromaculata,-5.280333333,-59.69588889,Aripuanã-Sucunduri,arsu,P_ni_80555_arsu
LSUMNS,80684,,,Phlegopsis,nigromaculata,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,P_ni_80684_arsu
LSUMNS,80802,,,Phlegopsis,nigromaculata,-5.25175,-59.69472222,Aripuanã-Sucunduri,arsu,P_ni_80802_arsu
LSUMNS,80874,,,Phlegopsis,nigromaculata,-5.8025,-59.25625,Aripuanã-Sucunduri,arsu,P_ni_80874_arsu
LSUMNS,85430,,,Phlegopsis,nigromaculata,-5.950555556,-59.17388889,Aripuanã-Sucunduri,arsu,P_ni_85430_arsu
LSUMNS,85721,,,Phlegopsis,nigromaculata,-5.797861111,-59.23077778,Sucunduri-Tapajós,suta,P_ni_85721_suta
LSUMNS,86072,,,Phlegopsis,nigromaculata,-6.754722222,-59.08305556,Aripuanã-Sucunduri,arsu,P_ni_86072_arsu
INPA,A14342,,,Phlegopsis,nigromaculata,-4.8875,-56.42416667,Para,pa,P_ni_A14342_pa
INPA,A15120,,,Phlegopsis,nigromaculata,-3.316666667,-55.33333333,Sucunduri-Tapajós,suta,P_ni_A15120_suta
INPA,A15277,,,Phlegopsis,nigromaculata,-3.35,-55.2,Para,pa,P_ni_A15277_pa
INPA,A2418,,,Phlegopsis,nigromaculata,-9.442222222,-61.68380556,Machado,ma,P_ni_A2418_ma
INPA,A3255,,,Phlegopsis,nigromaculata,-9.266822,-64.400086,Jiparaná-Guaporé,jigu,P_ni_A3255_jigu
INPA,A542,,,Phlegopsis,nigromaculata,-6.25,-60.45,Machado,ma,P_ni_A542_ma
INPA,A7066,,,Phlegopsis,nigromaculata,-5.066666667,-56.43333333,Para,pa,P_ni_A7066_pa
INPA,A7862,,,Phlegopsis,nigromaculata,-4.983333333,-62.96666667,in,In,P_ni_A7862_In
INPA,A7911,,,Phlegopsis,nigromaculata,-4.983333333,-62.96666667,in,In,P_ni_A7911_In
INPA,A7928,,,Phlegopsis,nigromaculata,-4.983333333,-62.96666667,in,In,P_ni_A7928_In
MPEG,J210,GT017,,Phlegopsis,nigromaculata,-7.56722,-60.68817,Machado,ma,P_ni_J210_ma
MPEG,J227,GDR226,,Phlegopsis,nigromaculata,-7.56722,-60.68817,Machado,ma,P_ni_J227_ma
MPEG,J260,LJM214,,Phlegopsis,nigromaculata,-7.56722,-60.68817,Machado,ma,P_ni_J260_ma
MPEG,J361,GDR263,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J361_roar
MPEG,J363,LJM234,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J363_roar
MPEG,J371,GDR266,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J371_roar
MPEG,J373,GT070,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J373_roar
MPEG,J381,GDR269,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J381_roar
MPEG,J385,GT074,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J385_roar
MPEG,J389,MAR107,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J389_roar
MPEG,J417,MAR110,,Phlegopsis,nigromaculata,-7.699787,-60.890504,Roosevelt-Aripuana,roar,P_ni_J417_roar
MPEG,J434,GDR287,,Phlegopsis,nigromaculata,-7.695083,-60.912417,Machado,ma,P_ni_J434_ma
MPEG,J461,MAR115,,Phlegopsis,nigromaculata,-7.695083,-60.912417,Machado,ma,P_ni_J461_ma
MPEG,J462,GT095,,Phlegopsis,nigromaculata,-7.695083,-60.912417,Machado,ma,P_ni_J462_ma
MPEG,J485,GT102,,Phlegopsis,nigromaculata,-7.695083,-60.912417,Machado,ma,P_ni_J485_ma
AMNH,J551,LJM282,261217,Phlegopsis,nigromaculata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,P_ni_J551_arsu
AMNH,J602,GDR344,261267,Phlegopsis,nigromaculata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,P_ni_J602_arsu
AMNH,J603,GT140,261269,Phlegopsis,nigromaculata,-7.703667,-60.595694,Aripuanã-Sucunduri,arsu,P_ni_J603_arsu
