,0,1
P_ni_77876_suta,32.88042,-22.521925
P_ni_78155_suta,-12.726132,44.4803
P_ni_80034_pu,438.4744,-205.51753
P_ni_80555_arsu,30.280516,-61.879303
P_ni_80684_arsu,66.88434,-32.71564
P_ni_80802_arsu,-14.478066,19.220228
P_ni_80874_arsu,-58.266613,3.2511818
P_ni_85430_arsu,-367.36566,145.75926
P_ni_85721_suta,-56.591953,84.55396
P_ni_86072_arsu,8.744878,88.023735
P_ni_A14342_pa,29.83495,350.2345
P_ni_A15120_suta,-29.027702,-27.971422
P_ni_A15277_pa,13.2001,308.20935
P_ni_A2418_ma,-270.22794,10.062128
P_ni_A3255_jigu,-246.10872,-62.220245
P_ni_A542_ma,-185.86311,-198.7072
P_ni_A7066_pa,52.521202,323.5628
P_ni_A7862_In,303.42194,30.692177
P_ni_A7911_In,318.33752,47.85587
P_ni_A7928_In,293.23306,44.524082
P_ni_J210_ma,-122.18206,-227.50317
P_ni_J227_ma,686.47754,12.284668
P_ni_J260_ma,-123.87642,-193.71855
P_ni_J361_roar,187.28831,158.08546
P_ni_J363_roar,53.66136,-1133.128
P_ni_J371_roar,-218.67616,317.25427
P_ni_J373_roar,1089.601,-107.192825
P_ni_J381_roar,-702.31805,-404.0405
P_ni_J385_roar,-250.35942,-336.37372
P_ni_J389_roar,471.56888,364.67645
P_ni_J417_roar,-86.10641,226.07059
P_ni_J434_ma,-156.13571,-216.43939
P_ni_J461_ma,-98.14115,-189.5395
P_ni_J462_ma,-144.64566,-204.50157
P_ni_J485_ma,-164.35846,-181.21606
P_ni_J551_arsu,-72.97013,36.34073
P_ni_J602_arsu,-28.792591,80.92409
P_ni_J603_arsu,-26.148886,120.85738
P_ni_J614_arsu,-52.914886,39.939663
P_ni_J617_arsu,-24.537006,101.94545
P_ni_J684_roar,-525.05853,-59.53182
P_ni_J724_roar,-331.97467,18.00208
P_ni_T10204_suta,58.93098,-173.9246
P_ni_T10673_pa,84.73584,320.71518
P_ni_T10940_pa,58.14914,377.19653
P_ni_T10967_suta,-2.8894556,-31.139599
P_ni_T11193_pa,7.441001,352.61765
P_ni_T11222_pa,76.82624,345.1688
P_ni_T11888_suta,2.2095044,-79.205444
P_ni_T12345_pa,72.73219,278.38834
P_ni_T12854_pa,48.800247,350.58102
P_ni_T14543_suta,7.661008,-46.90393
P_ni_T15863_jigu,-269.07407,-82.86418
P_ni_T15868_jigu,-226.44366,-2.6183727
P_ni_T15871_jigu,-250.16064,-15.386042
P_ni_T15938_pu,278.35565,-91.91163
P_ni_T1642_pa,58.156586,294.44037
P_ni_T16698_suta,12.158784,-7.8818536
P_ni_T18703_pa,49.5761,402.82425
P_ni_T22153_jigu,-273.6652,-44.045883
P_ni_T3261_jigu,-255.7901,-38.54842
P_ni_T3609_pu,249.12907,-167.62405
P_ni_T3611_pu,228.44781,-179.29634
P_ni_T369_ma,-227.83383,-96.18045
P_ni_T3817_pu,256.36038,-145.84665
P_ni_T4043_pu,225.02525,-151.35341
P_ni_T4051_pu,207.48575,-170.69556
P_ni_T4313_pu,210.07997,-77.87826
P_ni_T4404_pu,238.33176,-68.03029
P_ni_T443_ma,-212.89511,-54.099556
P_ni_T467_ma,-206.02367,-125.329544
P_ni_T5850_pu,227.2339,-55.313324
P_ni_T5940_pu,-150.78757,256.24915
P_ni_T5974_pu,269.078,-129.32213
P_ni_T6243_In,231.84927,-133.33363
P_ni_T9076_suta,-28.360832,-63.958405
