"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"
"P_ni_77876_suta"	0.0	0.1037361320338574	0.256319131759203	0.10790311080778908	0.10707082476772284	0.10625518444845791	0.10667410175529125	0.10470713241393469	0.10566148707321066	0.10526753834757929	0.17870013566262452	0.10906553697708161	0.17973217035230668	0.11096314914843267	0.11476114777793499	0.11369304735984996	0.18050064779596786	0.2601920361323113	0.2700546257070964	0.2641620405434273	0.11264714123616672	0.12957861357791445	0.1119785381173135	0.10786704507938621	0.10824712237101647	0.1109409548540309	0.10975078581673617	0.10962039433712578	0.10995608303995251	0.11045545466399226	0.10822770236341492	0.11349052442343384	0.11359594732184224	0.11517451651116789	0.113856730281063	0.10529805550238172	0.10430763511470288	0.10720953910773388	0.105866784296427	0.10510662971316649	0.10924031704549553	0.10836086812982552	0.10746199920655397	0.17835889838619737	0.18135512813043586	0.10673513606489611	0.1795768102914943	0.17689130066888054	0.10737599631574712	0.18098892227280672	0.17953797027629123	0.10618860156525262	0.11498309072195266	0.11541033088918666	0.11579595675441735	0.2503488665651278	0.17891375574624155	0.10687662469170738	0.18189888834327916	0.12129459319245504	0.1145891419963213	0.24462828718307242	0.24970800631427675	0.11311322141860382	0.2520994415360671	0.24645654218441795	0.2533478705961665	0.2501907322175152	0.25204950437366314	0.11269707839857068	0.1102612545879768	0.2466119022452303	0.2532840619997614	0.2535337478117813	0.2508066238871642	0.10464054953072939
"P_ni_78155_suta"	0.1037361320338574	0.0	0.2546712053998718	0.10575026425081772	0.1050012068147581	0.10515101830197002	0.1054534155631941	0.10394697783067418	0.10406349787628345	0.10335882902902736	0.17597023745120724	0.10665745603448994	0.1757150030655869	0.10817221662741051	0.11390111886986654	0.11321587003021198	0.17754880664053288	0.2585274640521788	0.2678906820029241	0.26341298310736766	0.11152078079527705	0.1281748244570027	0.11117399494524945	0.108077890876203	0.10793640224939174	0.10867158825145026	0.10758684211256392	0.10748419350095574	0.10882972259906284	0.10960652290312468	0.10765619928256943	0.11417854754988861	0.11082720909522184	0.11545194519118998	0.11365143305784665	0.10316185466621168	0.10186071415690812	0.10385820065306711	0.1040024635666786	0.10221582286733638	0.1077311050261754	0.10680171894810142	0.10444357516791371	0.1749687199163275	0.1770993721788971	0.10419943792949428	0.1764585119280461	0.17374525943743013	0.10397472069867639	0.1768829778084799	0.17594804315680546	0.10401910928747993	0.1132852272002175	0.11433945618430143	0.11501360787675509	0.24888959170821162	0.17539041150996107	0.1042022122162945	0.17771526384854613	0.12019042704596716	0.11453920483391732	0.24298036082374125	0.24774935983332086	0.11114347779044702	0.25011860076070946	0.24524140456592122	0.25169439566323487	0.24880913739100521	0.24995769212629662	0.11231422682014021	0.10991169445114897	0.2448141643986872	0.25075946101156044	0.252462873106896	0.24939728619265203	0.10397472069867639
"P_ni_80034_pu"	0.256319131759203	0.2546712053998718	0.0	0.2566908861904326	0.2566797890432317	0.2558641487239668	0.25624422601559704	0.25519277131831336	0.25664094902802864	0.2569461205760529	0.25996177032789297	0.25776453518211806	0.2605943077183433	0.25743162076609155	0.2585663040673819	0.259146130008628	0.26202861399405747	0.18498944383872515	0.1937700615614241	0.1900802601171304	0.2582777782401589	0.2674523446884892	0.256294163178001	0.25470172255467427	0.25448255389745683	0.25479049973228135	0.2544548110294546	0.2554008428283299	0.2553592285263266	0.2549985712422979	0.2539249222506124	0.25787828094092713	0.2582222925041545	0.2588465070342042	0.25731232643368207	0.2562775174571997	0.2557198858103553	0.25588079444476813	0.25554233145514116	0.25630248603840167	0.25522051418631553	0.2539637622658155	0.2564772661068156	0.2600311274978985	0.2629885172269339	0.2575370436645	0.2614487880528113	0.2599673189014934	0.2557309829575562	0.261834413918042	0.2603002333175199	0.25619151456639283	0.2589269613514106	0.258078029590543	0.2593125872166413	0.18207089412489286	0.26106871076118104	0.25708483491606393	0.26295522578533126	0.2515889727648265	0.25645784609921407	0.16916491193026553	0.17012758944994216	0.2567075319112339	0.17281864764615637	0.1704383095715669	0.17377855087903277	0.1729185219709643	0.17266883615894443	0.25715141779926926	0.25610273738878575	0.17047714958677	0.17444160542428555	0.17557351443877564	0.17274096761575017	0.2559362801807725
"P_ni_80555_arsu"	0.10790311080778908	0.10575026425081772	0.2566908861904326	0.0	0.10670461891009368	0.10640499593566984	0.10760626212016546	0.10357522339944458	0.10565593849961022	0.1053341212307846	0.17863355277941922	0.10619137585205284	0.17856696989621393	0.11306050996939962	0.11993241837354662	0.11888096367626293	0.17981817324311353	0.26147930520761375	0.26977164845347384	0.26527175526351565	0.11701941723331474	0.13355139227583068	0.1170665801089185	0.11157904081808169	0.11177046660729693	0.11420906470469104	0.11143755219127043	0.11241687543174839	0.11152632936887749	0.11258610692656186	0.11181762948290068	0.11831223488221765	0.11744110882694832	0.11838159205222318	0.1176408574765642	0.10539792982718968	0.10414672648029008	0.10704308189972063	0.10616085869725041	0.10581684713402302	0.1132852272002175	0.11229480681253867	0.10600272434963781	0.17804817826457264	0.17971829891830557	0.10704585618652085	0.17937706164187842	0.17638083189763992	0.10505114397716207	0.17939648164947997	0.17895537004824486	0.10307585177540483	0.1181180348062022	0.12050947002799256	0.11902522658987441	0.25129767265080327	0.17729357225491257	0.1081583451934094	0.18093898511040274	0.1247901945607333	0.11949408105911173	0.24636499072001064	0.2497801377710825	0.11532710228518003	0.2525266817033011	0.2478214912901266	0.2541912537834336	0.25097308109517746	0.2531758648145528	0.1164146227108666	0.1157210510108114	0.24753296546290363	0.2541607366286312	0.25532593708472395	0.2512948983640031	0.10303701176020175
"P_ni_80684_arsu"	0.10707082476772284	0.1050012068147581	0.2566797890432317	0.10670461891009368	0.0	0.10572252138281552	0.10733993058734426	0.10275403450657922	0.10250989726815979	0.1042022122162945	0.17843935270340378	0.10418834078229339	0.17838386696739936	0.11503580217115685	0.12037630426158195	0.11971324971632917	0.1796961046239038	0.2609078021267683	0.269372151154242	0.2646170235786635	0.11771298893336996	0.1345612326711111	0.11816519768180594	0.11227816109173734	0.11236416398254419	0.11357097874064025	0.1132186443170122	0.1128718584669846	0.11343503868742943	0.11215331818572741	0.11217273819332894	0.11982144690153779	0.11805700049659734	0.1205677300507972	0.11887818938946271	0.1059194957456312	0.10488468676914882	0.10565593849961022	0.10496791537315545	0.10464609810432983	0.11231977539374065	0.11184537235090289	0.10366122629025143	0.17783733246775585	0.18046180778076476	0.10526476406077907	0.179748816073108	0.17614779180642137	0.10255983443056377	0.17914679583746007	0.17921060443386516	0.10159993119768736	0.11929433240949583	0.12110871597684025	0.12090619304042413	0.2508426896155671	0.17716595506210242	0.10559490419000535	0.1813995167192394	0.12803056154339124	0.12037630426158195	0.2459322019791762	0.25005201787750414	0.11694173720290857	0.2524323559520936	0.24696146238205813	0.25343664777377356	0.250917595359173	0.2522825444648817	0.11732458878133904	0.1160539654268379	0.24688378235165195	0.25312870193894904	0.25443816530865326	0.24988556066949089	0.10235453720734743
"P_ni_80802_arsu"	0.10625518444845791	0.10515101830197002	0.2558641487239668	0.10640499593566984	0.10572252138281552	0.0	0.10624686158805725	0.10351418908983973	0.10515101830197002	0.10479590959154175	0.17858361561701525	0.10670184462329346	0.17847819271860688	0.10934851423070414	0.11236971255614463	0.11247790974135324	0.18038967632395903	0.26050830482753645	0.26819030497734797	0.26418423483782905	0.11219770677453093	0.12892943046666278	0.11135154930046358	0.107839302211384	0.1071318590773277	0.10941509711390944	0.10884636831986418	0.10877146257625821	0.10870765397985313	0.10898508265987521	0.10739541632334867	0.1124196497185486	0.11151523222167661	0.11332684150222082	0.11234196968814242	0.10423272937109693	0.10346425192743576	0.10489023534274926	0.10491242963715103	0.10395252640427462	0.10882972259906284	0.10755077638416104	0.10539792982718968	0.17715485791490151	0.17966281318230115	0.10576413568481882	0.17926609016986958	0.17684691208007702	0.105389606966789	0.17979597894871177	0.1790663415202537	0.10483474960674484	0.11371801594105195	0.11443378193550893	0.11341007010622745	0.2511034725747878	0.17811476114777794	0.1047626181499391	0.18122196236402527	0.12070644439080823	0.11410641609308288	0.24498894446710112	0.24863158303579108	0.11192027809450886	0.25140032126241146	0.2460514963115857	0.2529927618857382	0.24970245774067631	0.2522825444648817	0.11228093537853756	0.10977852868473838	0.24620130779879762	0.2523463530612868	0.2541662852022316	0.25044041802953504	0.10477926387074044
"P_ni_80874_arsu"	0.10667410175529125	0.1054534155631941	0.25624422601559704	0.10760626212016546	0.10733993058734426	0.10624686158805725	0.0	0.10437699228470841	0.10644661023767316	0.1059749814816356	0.17851980702061018	0.10684888182370517	0.17898033862944684	0.11063855759280683	0.11352659015183672	0.11330742149461927	0.17993746757552304	0.26064979345434774	0.2694747997658502	0.26492496941348803	0.1110741206204415	0.12817759874380294	0.11094927771443157	0.10648267596607602	0.10672403891769523	0.10762013355416657	0.1084773881754348	0.10872429970065445	0.10872152541385423	0.10901559981467764	0.10640499593566984	0.11208396101572188	0.11184537235090289	0.11266378695696803	0.11112405778284548	0.10601104721003848	0.10491520392395125	0.1046821638327327	0.10499288395435744	0.10476539243673932	0.10864384538344805	0.10805847086860146	0.10703753332612019	0.17738512371931986	0.17958235886509474	0.10664913317408928	0.17950190454788836	0.17748777233092802	0.10553109559360027	0.18015941051954068	0.17952964741589056	0.1051482440151698	0.11393163602466896	0.11370969308065129	0.11356265588023959	0.251394772688811	0.17783455818095564	0.10667410175529125	0.18107492516361356	0.12045953286558858	0.11314373857340625	0.24468654720587704	0.24970523202747655	0.11150690936127595	0.2522575758836797	0.24681442518164642	0.2529234047157327	0.25070397527555605	0.2518580785844479	0.11203957242691835	0.11065797760040838	0.2467034537096376	0.2533756134641687	0.2545297167730606	0.2499271749714942	0.10609150152724488
"P_ni_85430_arsu"	0.10470713241393469	0.10394697783067418	0.25519277131831336	0.10357522339944458	0.10275403450657922	0.10351418908983973	0.10437699228470841	0.0	0.10255428585696331	0.10165541693369178	0.17653064338485183	0.10352806052384084	0.1761145003648187	0.11033616033158276	0.1142562275802948	0.11415912754228706	0.17656116053965426	0.25911006428022515	0.26786848770852234	0.2631078115593434	0.11299670137299454	0.1302111509683648	0.11257778406616119	0.10748419350095574	0.10866326539104959	0.10954826288032005	0.10694320757491269	0.10687385040490716	0.10850235675663679	0.10905721411668096	0.10802240514019858	0.11477779349873632	0.11229203252573844	0.11460856200392285	0.11386227885466343	0.10349476908223819	0.1023378914865461	0.10252654298896112	0.10361961198824812	0.10179967984730326	0.10876868828945799	0.1085717139266423	0.1039497521174744	0.1749298799011244	0.17651122337725028	0.1030175917526002	0.17570390591838603	0.1733180192701961	0.10279842309538276	0.17721034365090593	0.1764585119280461	0.10198833134971827	0.1135238158650365	0.11560453096520212	0.1148416020951414	0.24959980912906815	0.17489658845952177	0.10489578391634971	0.17843657841660354	0.12085070730441971	0.11451701053951556	0.24350192674218277	0.24852616013738268	0.11251397546975611	0.24961368056306926	0.24541895892113536	0.25107850399358583	0.24944167478145557	0.2513503841000075	0.11308547855060161	0.11077727193281788	0.24462551289627218	0.25104243826518297	0.2532341248373574	0.24895340030461668	0.1025653830041642
"P_ni_85721_suta"	0.10566148707321066	0.10406349787628345	0.25664094902802864	0.10565593849961022	0.10250989726815979	0.10515101830197002	0.10644661023767316	0.10255428585696331	0.0	0.10267080590257259	0.17844490127700421	0.10460448380232652	0.17745170660252516	0.11347665298943274	0.11790164043578497	0.1186923121738479	0.17891375574624155	0.2606636648883488	0.2696662255550654	0.26532169242591963	0.11580982818841846	0.13351810083422805	0.11572937387121206	0.11129606356445916	0.11169833515049118	0.1129384413501899	0.11170388372409162	0.1107134633364128	0.11136542073446469	0.11189808380010709	0.11106857204684106	0.11762421175576289	0.11678082856849575	0.1176935689257684	0.11657553134527941	0.10486526676154727	0.10317572610021279	0.10462390380992806	0.10365845200345121	0.1033643776026278	0.11189253522650665	0.11018634884437083	0.1022185971541366	0.1763281204484357	0.17994579043592368	0.10366122629025143	0.1794269988042824	0.1768580092272779	0.10231014861854389	0.1796961046239038	0.17891098145944132	0.10049021647759902	0.11739672023814478	0.1193165267038976	0.11832055774261832	0.25040435230113217	0.17778739530535187	0.10432428083550421	0.18057832782637404	0.1259886864584287	0.11856192069423753	0.24537179604553158	0.24910321179182862	0.11548801091959285	0.2519884700640583	0.24689487949885283	0.2531259276521488	0.25050700091274036	0.25335341916976695	0.1167197942588909	0.1147223077627319	0.24584065051476892	0.25329515914696227	0.2541662852022316	0.25137257839440924	0.10073435371601845
"P_ni_86072_arsu"	0.10526753834757929	0.10335882902902736	0.2569461205760529	0.1053341212307846	0.1042022122162945	0.10479590959154175	0.1059749814816356	0.10165541693369178	0.10267080590257259	0.0	0.17720756936410573	0.10439918657911018	0.17750719233852957	0.110741206204415	0.11743001167974743	0.11592912252082796	0.17859193847741592	0.25981473312748127	0.26940544259584465	0.2642397205738335	0.1148554735291425	0.1314207400132611	0.11430893902949898	0.11023073743317437	0.1104887461055949	0.11167891514288965	0.10968420293353086	0.11101308631083665	0.1100226659231578	0.11120451210005187	0.10973136580913462	0.11666985709648692	0.11429506759549789	0.11752711171775516	0.11548801091959285	0.10346147764063553	0.10287055455218849	0.10348089764823708	0.10255983443056377	0.10276513165378011	0.10947890571031452	0.1097813029715386	0.10445467231511459	0.17638360618444013	0.1787084585230252	0.10457119236072386	0.17841715840900202	0.17456089975669506	0.10239892579615095	0.1787362013910274	0.17760706666333753	0.10154444546168294	0.11579873104121757	0.11784060612618011	0.11620655120085004	0.2507372667171587	0.1774156408741223	0.10478481244434087	0.18071149359278463	0.12307568531819682	0.1167197942588909	0.24507217307110774	0.2495803891214666	0.11374021023545372	0.2513836755416101	0.24760509691970936	0.2537917564842018	0.25046816089753726	0.25226035017047993	0.11481108494033897	0.11351271871783561	0.24628453640280426	0.2530288276141411	0.2541718337758321	0.25085101247596775	0.10153334831448206
