Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
LSUMNS,28095,,,Thamnophilus,aethiops,-7.133333333,-75.68333333,in,In,T_ae_28095_In
LSUMNS,75520,,,Thamnophilus,aethiops,-10.38,-73.72,in,In,T_ae_75520_In
LSUMNS,80508,,,Thamnophilus,aethiops,-5.288888889,-59.69361111,Aripuanã-Sucunduri,arsu,T_ae_80508_arsu
LSUMNS,80716,,,Thamnophilus,aethiops,-5.25175,-59.69472222,Aripuanã-Sucunduri,arsu,T_ae_80716_arsu
LSUMNS,81278,,,Thamnophilus,aethiops,-4.050833333,-59.11527778,Aripuanã-Sucunduri,arsu,T_ae_81278_arsu
LSUMNS,81338,,,Thamnophilus,aethiops,-4.050833333,-59.11527778,Aripuanã-Sucunduri,arsu,T_ae_81338_arsu
MPEG,82491,PUR008,,Thamnophilus,aethiops,-7.69452,-65.223491,Purus,pu,T_ae_82491_pu
MPEG,82606,PUR124,,Thamnophilus,aethiops,-7.336479,-65.15999,Purus,pu,T_ae_82606_pu
MPEG,82608,PUR126,,Thamnophilus,aethiops,-7.336479,-65.15999,Purus,pu,T_ae_82608_pu
LSUMNS,85274,,,Thamnophilus,aethiops,-5.797861111,-59.23077778,Sucunduri-Tapajós,suta,T_ae_85274_suta
LSUMNS,86147,,,Thamnophilus,aethiops,-6.754722222,-59.08305556,Aripuanã-Sucunduri,arsu,T_ae_86147_arsu
LSUMNS,86229,,,Thamnophilus,aethiops,-6.751666667,-59.07555556,Aripuanã-Sucunduri,arsu,T_ae_86229_arsu
LSUMNS,86569,,,Thamnophilus,aethiops,-6.562222222,-59.09388889,Aripuanã-Sucunduri,arsu,T_ae_86569_arsu
INPA,A15069,,,Thamnophilus,aethiops,-3.316666667,-55.33333333,Sucunduri-Tapajós,suta,T_ae_A15069_suta
INPA,A15279,,,Thamnophilus,aethiops,-3.35,-55.2,Para,pa,T_ae_A15279_pa
INPA,A16041,,,Thamnophilus,aethiops,-4.5,-56.3,Sucunduri-Tapajós,suta,T_ae_A16041_suta
INPA,A21562,,,Thamnophilus,aethiops,-5.265448333,-61.9444483,Purus,pu,T_ae_A21562_pu
INPA,A2720,,,Thamnophilus,aethiops,-3.683333333,-60.31666667,Purus,pu,T_ae_A2720_pu
INPA,A2833,,,Thamnophilus,aethiops,-4.983333333,-61.56666667,Purus,pu,T_ae_A2833_pu
INPA,A317,,,Thamnophilus,aethiops,-8.853298,-63.86298,Jiparaná-Guaporé,jigu,T_ae_A317_jigu
INPA,A324,,,Thamnophilus,aethiops,-8.853298,-63.86298,Jiparaná-Guaporé,jigu,T_ae_A324_jigu
INPA,A3559,,,Thamnophilus,aethiops,-8.840932964,-64.06161365,Purus,pu,T_ae_A3559_pu
INPA,A439,,,Thamnophilus,aethiops,-5.241666667,-60.71666667,Purus,pu,T_ae_A439_pu
INPA,A458,,,Thamnophilus,aethiops,-6.3,-60.4,Machado,ma,T_ae_A458_ma
INPA,A509,,,Thamnophilus,aethiops,-6.3,-60.4,Machado,ma,T_ae_A509_ma
