,0,1
T_ae_28095_In,106.39373,-111.78547
T_ae_75520_In,119.12685,-186.17926
T_ae_80508_arsu,-181.374,-141.0285
T_ae_80716_arsu,-148.06508,-122.04983
T_ae_81278_arsu,-218.55147,-154.78484
T_ae_81338_arsu,207.49304,-75.012314
T_ae_82491_pu,135.6218,-11.453525
T_ae_82606_pu,191.49715,-1423.8618
T_ae_82608_pu,9.8661995,2424.1445
T_ae_85274_suta,-297.76886,-144.71182
T_ae_86147_arsu,-270.65723,-10.997998
T_ae_86229_arsu,-169.70848,-86.12522
T_ae_86569_arsu,-276.92438,-42.728878
T_ae_A15069_suta,-232.15498,-115.293724
T_ae_A15279_pa,461.63016,-156.1602
T_ae_A16041_suta,-234.04475,-134.70462
T_ae_A21562_pu,139.4951,-136.4458
T_ae_A2720_pu,235.23856,-76.36486
T_ae_A2833_pu,190.66542,-65.889725
T_ae_A317_jigu,-105.34479,138.26678
T_ae_A324_jigu,-49.624054,121.1944
T_ae_A3559_pu,198.65176,-116.13753
T_ae_A439_pu,197.19748,-36.41057
T_ae_A458_ma,14.533509,309.74564
T_ae_A509_ma,-16.094604,227.38136
T_ae_A522_ma,88.01538,164.99023
T_ae_A7968_In,54.931656,-151.31676
T_ae_A8087_In,56.213387,-134.85376
T_ae_J249_ma,-13.331645,252.45813
T_ae_J252_ma,-105.02296,211.33371
T_ae_J261_ma,-58.85466,236.241
T_ae_J298_ma,-26.799053,267.18372
T_ae_J319_roar,-133.4588,147.15388
T_ae_J419_roar,14.772896,171.73885
T_ae_J598_arsu,-179.81561,-112.17799
T_ae_J616_arsu,-239.26277,-190.94421
T_ae_J678_roar,39.351643,175.7372
T_ae_J683_roar,58.1587,177.50906
T_ae_T10229_suta,-257.31903,-108.08327
T_ae_T10679_pa,429.62808,-118.87264
T_ae_T12313_pu,155.07373,-122.627235
T_ae_T13219_pu,166.59099,-72.147545
T_ae_T13278_ma,-80.69994,197.9591
T_ae_T13575_pa,452.905,-120.9393
T_ae_T14205_In,120.85385,-147.01912
T_ae_T14601_suta,-297.24866,-41.253292
T_ae_T16625_suta,-245.03171,-59.336266
T_ae_T16704_suta,-285.33826,-103.47967
T_ae_T17307_pa,489.56555,-114.99889
T_ae_T19420_pa,469.77502,-132.00266
T_ae_T19436_suta,-216.38347,-93.29099
T_ae_T2166_ma,-63.02246,211.45119
T_ae_T2207_ma,13.507714,287.7596
T_ae_T24591_suta,420.87537,-166.05681
T_ae_T3237_jigu,-86.39459,98.00338
T_ae_T3260_jigu,-71.3786,133.48134
T_ae_T3376_jigu,153.86783,-162.48286
T_ae_T4355_ma,26.462719,241.83293
T_ae_T742_suta,-256.8025,-149.12796
T_ae_T7941_suta,-85.887276,123.2801
T_ae_T8268_pa,425.22894,-142.11232
