"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"
"T_ae_28095_In"	0.0	0.10078121209180455	0.1264091739854756	0.12226858815727756	0.1240396590486357	0.11997994403739466	0.10339333947951543	0.10411308975043265	0.10274637294385948	0.12434696815307228	0.12391026574150452	0.12162970870331732	0.11877496886473547	0.12488071554498843	0.14530868390832485	0.12327138628754428	0.09696410953143449	0.10864185550002427	0.10866611674511135	0.12053795267439792	0.12205832403318938	0.10406456726025846	0.10550406780209294	0.1184838339236903	0.1173112070778139	0.1230125996732819	0.1013473078105035	0.10081356041858734	0.11743251330324939	0.11898523298882366	0.11780451906125156	0.11790965112329564	0.11772364824429456	0.1183706147799505	0.12107978714800977	0.12098274216766138	0.11910653921425914	0.11879923010982257	0.12373234994419914	0.14373170297766347	0.10503501706374238	0.10596503145874779	0.11638119268280848	0.14434632118653662	0.09846830672683456	0.12373234994419914	0.12243841687288726	0.12746049460591652	0.1444757144936678	0.14268846943891828	0.12490497679007553	0.11780451906125156	0.11562100700341275	0.1445727594740162	0.12091804551409578	0.12210684652336358	0.09819334594918078	0.1172626845876397	0.12491306387177123	0.11777217073446876	0.14411179581736136
"T_ae_75520_In"	0.10078121209180455	0.0	0.12014977275300436	0.11654293431672247	0.11682598217607194	0.11245895806039433	0.09642227505782264	0.09609070470829896	0.09512834198651075	0.11805521859381823	0.11648632474485257	0.1172465104242483	0.11403593899105569	0.11811991524738383	0.13985799084542352	0.1160253610881977	0.09042974752130946	0.10074886376502175	0.10083782166367444	0.1138256748669675	0.1150710854481052	0.09652740711986672	0.0990990990990991	0.1115289436653889	0.11260452553091692	0.1162517993756773	0.09374545101654617	0.09250004043540848	0.11173920778947709	0.11238617432513304	0.11199799440373946	0.11223251977291475	0.1116583369725201	0.11240234848852443	0.11477186342536433	0.11582318404580523	0.11367202031474923	0.11308975043265887	0.11800669610364405	0.13975285878337942	0.098080126805441	0.09931745030488298	0.11128633121451793	0.13939702718876867	0.09439241755220211	0.11782878030633866	0.11692302715642033	0.12108787422970547	0.13989842625390203	0.1380788328723697	0.11877496886473547	0.11078493214938458	0.1103644039012082	0.1399469487440762	0.11545117828780306	0.11570187782036974	0.09251621459879987	0.11218399728274055	0.11875070761964837	0.11261261261261261	0.13913015349281058
"T_ae_80508_arsu"	0.1264091739854756	0.12014977275300436	0.0	0.10100765037928414	0.10185679395733256	0.10067608002976046	0.11892862341695376	0.11977776699500219	0.11866983680269139	0.09849256797192166	0.10269785045368528	0.10166270399663578	0.10076503792841315	0.10146861403593899	0.13294353599560063	0.10065181878467336	0.1184029631067333	0.12205832403318938	0.12146796706940334	0.11672893719572355	0.11886392676338817	0.11782069322464296	0.12039238520387532	0.11059892927038349	0.11238617432513304	0.10065181878467336	0.12029534022352693	0.11972924450482798	0.1105665809436007	0.11245895806039433	0.11131059245960502	0.1117553819528685	0.10839924304915328	0.10948291199637698	0.10319924951881863	0.10433144095621653	0.1094101282611157	0.10910281915667912	0.10158183317967878	0.13256344315590277	0.11856470474064729	0.11803904443042684	0.11291183463535348	0.1322561340514662	0.12086143594222588	0.10080547333689165	0.10169505232341858	0.10382195480938748	0.13269283646303395	0.13185986704837693	0.10060329629449917	0.11027544600255552	0.1105665809436007	0.1334368479790383	0.1184514855969075	0.11939767415530432	0.11867792388438708	0.11327575331165995	0.10051433839584648	0.0990182282821421	0.13228039529655328
"T_ae_80716_arsu"	0.12226858815727756	0.11654293431672247	0.10100765037928414	0.0	0.09577530852216669	0.09761916314878613	0.11530561081728048	0.11557248451323855	0.11478803758875572	0.09968945606288515	0.10062755753958627	0.09815291054070228	0.09764342439387323	0.10041729341549809	0.12954696168340693	0.09775664353761301	0.11513578210167079	0.11649441182654827	0.11734355540459669	0.11100328335516846	0.1127500930014395	0.11421385478836107	0.1148931696507998	0.10526145535122196	0.10678991379170913	0.09879178999466252	0.11644588933637408	0.11576657447393533	0.10532615200478755	0.10738027075549517	0.10670095589305643	0.10520484577935206	0.10399987060669287	0.10433952803791224	0.09993206851375612	0.10206705808142073	0.10525336826952626	0.1047681433677843	0.09854109046209585	0.13005644783023598	0.11448881556601485	0.11546735245119447	0.10639364678861986	0.13063871771232632	0.11688259174794184	0.09930127614149158	0.09902631536383781	0.10204279683633365	0.12966826790884242	0.12906173678166497	0.1001180713927572	0.10624807931809727	0.10558493861904993	0.13128568424798226	0.11293609588044058	0.11210312646578356	0.1150549112847138	0.10632086305335857	0.10112895660471963	0.09571869895029679	0.1297410516441037
"T_ae_81278_arsu"	0.1240396590486357	0.11682598217607194	0.10185679395733256	0.09577530852216669	0.0	0.09935788571336147	0.11649441182654827	0.1161628414770246	0.11630032186585149	0.09981076228832064	0.1025118475746842	0.10071651543823895	0.10002911349410452	0.10191340352920245	0.1319488249470296	0.10007763598427871	0.11582318404580523	0.11750529703851069	0.11835444061655911	0.11369628155983631	0.11599301276141491	0.11370436864153202	0.11629223478415579	0.10822941433354359	0.10856098468306727	0.09923657948792598	0.11795817361346984	0.11710094295372572	0.10790593106571562	0.10834263347728339	0.10806767269962961	0.10843159137593608	0.10488136251152409	0.1058841606417908	0.10204279683633365	0.10315881411034014	0.10752583822601776	0.10611868601096608	0.09945493069370986	0.1307761981011532	0.11590405486276223	0.11714137836220422	0.10989535316285765	0.13137464214663497	0.11888010092677956	0.10079738625519595	0.10199427434615944	0.10277872127064228	0.13048506316010805	0.13050932440519514	0.10218027722516053	0.10733983534701667	0.10767949277823605	0.13145551296359195	0.11485273424232131	0.11469907969010303	0.11679363384928915	0.10909473207498342	0.10207514516311644	0.09736037653452376	0.13029906028110697
"T_ae_81338_arsu"	0.11997994403739466	0.11245895806039433	0.10067608002976046	0.09761916314878613	0.09935788571336147	0.0	0.11081728047616737	0.11173112070778139	0.11138337619486632	0.09704498034839149	0.09972989147136364	0.09866239668753134	0.09486955537224837	0.09994015559545183	0.13068724020250053	0.09834700050139907	0.1104695359632523	0.11308975043265887	0.112628786776004	0.09842787131835606	0.09975415271645074	0.10912708040176622	0.1103886651462953	0.09486955537224837	0.09725524447247966	0.09645462338460543	0.11205460397560936	0.1115855532372588	0.09729567988095816	0.0968589774693904	0.09705306743008718	0.09817717178578939	0.0946269429213774	0.0955650443980785	0.09725524447247966	0.09833891341970337	0.09780516602778722	0.0968023678975205	0.09806395264204959	0.13040419234315104	0.11095476086499426	0.1116098144823459	0.09608261762660326	0.13152020961715755	0.1139631552557944	0.09765959855726462	0.09667297459038932	0.10006146182088732	0.13074384977437042	0.12949035211153703	0.10041729341549809	0.09601792097303767	0.0957591343587753	0.1309055914082844	0.10105617286945832	0.10148478819933039	0.11218399728274055	0.0968185420609119	0.09885648664822812	0.09318744237954292	0.1309460268167629
"T_ae_82491_pu"	0.10339333947951543	0.09642227505782264	0.11892862341695376	0.11530561081728048	0.11649441182654827	0.11081728047616737	0.0	0.08985556472091481	0.08897407281608359	0.11670467595063645	0.11594449027124072	0.11592831610784932	0.11231339058987173	0.11871027221116988	0.13719734096753847	0.11558057159493425	0.08715447943455125	0.09195820596179663	0.09280734953984505	0.11194138483186958	0.11375289113170621	0.09043783460300515	0.09281543662154075	0.10967700195707376	0.10987917899946625	0.11323531790318146	0.09485338120885697	0.09431963381694082	0.11035631681951251	0.10903003542141783	0.10980639526420496	0.1104452747181652	0.11009753020525014	0.11228104226308894	0.11346984327235674	0.11411680980801268	0.1128067025733094	0.11041292639138241	0.11644588933637408	0.1380788328723697	0.0910039303217041	0.09250004043540848	0.1093373445258544	0.13691429310818898	0.09655166836495382	0.1161062319051547	0.11532987206236757	0.12014168567130865	0.13757743380723633	0.1356284471185728	0.1173920778947709	0.10940204117942	0.10809193394471671	0.13754508548045352	0.11350219159913953	0.11287948630857068	0.09516069031329355	0.10999239814320605	0.11756190661038057	0.11127824413282222	0.13638863279796853
"T_ae_82606_pu"	0.10411308975043265	0.09609070470829896	0.11977776699500219	0.11557248451323855	0.1161628414770246	0.11173112070778139	0.08985556472091481	0.0	0.05145810082973458	0.11745677454833649	0.11507917252980089	0.11629223478415579	0.11188477525999968	0.11918741003121613	0.13919485014637617	0.11482847299723421	0.08407330130848982	0.09073705662574603	0.09082601452439873	0.11212738771087065	0.11440794474905785	0.09099584324000841	0.08931373024730296	0.10989535316285765	0.1105180584534265	0.11565335533019555	0.09463503000307309	0.09541138984586023	0.11029970724764261	0.11120546039756093	0.11070406133242758	0.11043718763646951	0.11033205557442541	0.11013796561372863	0.11464247011823313	0.11462629595484174	0.1128309638183965	0.11131059245960502	0.11773173532599027	0.13912206641111488	0.08921668526695457	0.09202290261536222	0.11025118475746842	0.13794135248354278	0.09825804260274637	0.11577466155563103	0.11604962233328481	0.11929254209326022	0.13845892571206755	0.13686577061801478	0.11806330567551393	0.11068788716903619	0.10835880764067479	0.13939702718876867	0.11320296957639867	0.11353453992592233	0.09613922719847316	0.1105018842900351	0.11811991524738383	0.11162598864573729	0.13841849030358905
"T_ae_82608_pu"	0.10274637294385948	0.09512834198651075	0.11866983680269139	0.11478803758875572	0.11630032186585149	0.11138337619486632	0.08897407281608359	0.05145810082973458	0.0	0.11612240606854611	0.1150387371213224	0.11547543953289016	0.11192521066847817	0.11812800232907952	0.13931615637181166	0.11472334093519013	0.08348294434470377	0.09090688534135571	0.09089879825966002	0.11089006421142866	0.11304122794248468	0.08951590728969544	0.08919242402186747	0.10962847946689958	0.11033205557442541	0.11352645284422663	0.0945460721044204	0.09415789218302684	0.10975787277403076	0.11016222685881573	0.11003283355168454	0.10905429666650493	0.10941821534281139	0.11082536755786307	0.11408446148122989	0.11456968638297184	0.1127258317563524	0.11041292639138241	0.11646206349976547	0.1388551927151568	0.08804405842107817	0.09085027576948582	0.10844776553932747	0.13827292283306647	0.09663253918191081	0.11583127112750093	0.11534604622575897	0.11917123586782474	0.13853170944732884	0.13727821178449545	0.11740825205816229	0.11017840102220712	0.10788166982062852	0.13862875442767722	0.11204651689391366	0.11242660973361153	0.09495042618920536	0.11000857230659744	0.11693111423811603	0.11058275510699209	0.137666391705889
"T_ae_85274_suta"	0.12434696815307228	0.11805521859381823	0.09849256797192166	0.09968945606288515	0.09981076228832064	0.09704498034839149	0.11670467595063645	0.11745677454833649	0.11612240606854611	0.0	0.1014120044640691	0.09977841396153785	0.09858961295227005	0.09880796415805393	0.13152829669885324	0.09855726462548725	0.11580700988241384	0.11805521859381823	0.11864557555760429	0.11542691704271596	0.11691494007472464	0.11485273424232131	0.11795817361346984	0.10860142009154576	0.1093535186892458	0.09970563022627654	0.11858896598573439	0.1161466673136332	0.10871463923528556	0.11018648810390283	0.10843967845763178	0.11072832257751468	0.10638555970692416	0.10895725168615654	0.09992398143206042	0.10155757193459168	0.1070567874876672	0.10668478172966503	0.09892118330179371	0.1309055914082844	0.11669658886894076	0.11796626069516554	0.11004092063338024	0.1309541138984586	0.11909036505086774	0.10010189722936581	0.09964902065440664	0.10051433839584648	0.13032332152619405	0.12989470619632199	0.10004528765749592	0.10882785837902534	0.10835880764067479	0.1309217655716758	0.11723033626085691	0.11636501851941708	0.11692302715642033	0.11037249098290391	0.09951962734727546	0.09816908470409368	0.1298623578695392
