,0,1
W_po_25484_pa,230.326,-39.71276
W_po_80798_arsu,-127.54427,-50.4595
W_po_81036_arsu,-131.4225,-35.274723
W_po_81265_suta,216.77054,-57.456085
W_po_85474_arsu,-123.84659,-44.62852
W_po_86085_arsu,-126.93761,-47.26612
W_po_A101_pu,89.91089,155.81665
W_po_A10701_pu,89.98543,153.19777
W_po_A12284_pa,232.62167,-42.32877
W_po_A1381_pu,87.155396,158.36066
W_po_A14569_pa,226.43698,-43.354008
W_po_A16227_pa,231.104,-44.84483
W_po_A16298_suta,213.9766,-57.87788
W_po_A24413_ma,-112.04403,-24.01881
W_po_A265_pu,-115.39266,-4.0168176
W_po_A2725_pu,95.698715,158.63931
W_po_A2749_pu,86.05546,151.45248
W_po_A2759_pu,93.70292,147.8407
W_po_A308_jigu,-115.43568,1.060624
W_po_A3264_jigu,-120.98806,1.0267564
W_po_A334_jigu,-113.193214,3.2468092
W_po_A368_jigu,-117.43107,-0.10636018
W_po_A4235_ma,-111.39872,-39.800594
W_po_A424_pu,95.68889,146.16951
W_po_A465_ma,-98.662674,-38.836514
W_po_A472_ma,-112.65374,-36.623535
W_po_A7346_pa,226.70781,-39.445953
W_po_A7736_pu,94.37883,153.93356
W_po_A815_In,82.38387,147.22896
W_po_A882_ma,-116.08767,5.97967
W_po_A891_arsu,-129.5071,-42.98635
W_po_A894_ma,-113.4178,-27.87571
W_po_A896_ma,-118.620255,-35.615852
W_po_A898_ma,-119.68874,-30.847279
W_po_A902_ma,-102.03522,-47.502014
W_po_A9697_pu,92.17406,155.76015
W_po_J163_ma,-109.0963,-33.339016
W_po_J192_ma,-103.769226,-40.522194
W_po_J202_ma,-118.56608,-39.013046
W_po_J209_ma,-101.483376,-38.221596
W_po_J222_ma,-101.48804,-36.19273
W_po_J226_ma,-100.92589,-28.42315
W_po_J302_ma,-95.63213,-39.186863
W_po_J335_roar,-109.197495,-48.483364
W_po_J340_roar,-115.26595,-33.890476
W_po_J391_roar,-120.16549,-25.204144
W_po_J421_roar,-122.97096,-33.481937
W_po_J439_ma,-95.25702,-27.632423
W_po_J561_arsu,-130.75797,-37.981644
W_po_J563_arsu,-134.16884,-37.106976
W_po_J610_arsu,-131.15388,-45.42735
W_po_J644_roar,-122.21346,-29.492186
W_po_J766_roar,-117.13435,-32.665703
W_po_J768_roar,-114.818565,-30.164022
W_po_T10153_suta,218.70795,-59.271088
W_po_T10234_suta,215.58131,-55.262535
W_po_T10694_pa,229.26279,-41.747826
W_po_T11887_suta,215.78838,-60.284267
W_po_T12400_pu,91.98476,159.10974
W_po_T12793_pa,234.15822,-40.105152
W_po_T13148_pu,91.91808,150.02917
W_po_T15888_jigu,-119.14337,-2.8987732
W_po_T15889_jigu,-118.15545,4.044297
W_po_T2190_ma,-82.74845,-47.056347
W_po_T23485_In,89.326065,164.04024
W_po_T3157_ma,-105.288864,-48.25639
W_po_T3645_In,85.23619,154.31972
W_po_T388_ma,-115.47593,-8.5774975
W_po_T4097_In,83.81139,148.7662
W_po_T7132_pa,230.71257,-36.773106
W_po_T7625_jigu,-112.577065,-1.661566
W_po_T7627_jigu,-110.89786,-2.8798878
W_po_T9346_pa,235.21721,-45.064987
