"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"
"W_po_25484_pa"	0	0.200383379	0.200868569	0.125083516	0.19937323	0.198386943	0.194712227	0.193940695	0.067966339	0.193224842	0.068427667	0.068650377	0.121392892	0.202061659	0.203859247	0.19524514	0.193797525	0.192501034	0.204129681	0.204567147	0.203389965	0.203843339	0.198633515	0.194227037	0.198267634	0.200168623	0.068578792	0.195420127	0.195054246	0.203700169	0.201218542	0.199063027	0.199198244	0.199747065	0.198585791	0.194282715	0.200653813	0.199198244	0.19963571	0.202252553	0.200423149	0.201067418	0.203564952	0.198156279	0.198458528	0.228110782	0.200065222	0.20123445	0.199627756	0.200478827	0.198339219	0.198999396	0.197671089	0.199747065	0.122991632	0.122347364	0.067520919	0.12375521	0.195499666	0.068260634	0.194409977	0.203533136	0.203851293	0.199166428	0.184539149	0.199158474	0.195420127	0.200287932	0.193797525	0.070121854	0.204121727	0.205593204	0.069469632
"W_po_80798_arsu"	0.200383379	0	0.078099647	0.191363622	0.080438103	0.079372276	0.110392606	0.110018771	0.200104992	0.10831663	0.200248163	0.200104992	0.190043269	0.085353632	0.091287264	0.110877796	0.110527823	0.1105835	0.089871464	0.090563456	0.088145461	0.091557698	0.085313862	0.111132322	0.084263943	0.084924119	0.201703732	0.110861888	0.11456842	0.090444147	0.079674525	0.084057141	0.08506729	0.084423022	0.085520664	0.110710763	0.086236518	0.085210461	0.08280042	0.085480895	0.085385447	0.087700041	0.090038497	0.083134485	0.083150393	0.116763705	0.08413668	0.08626038	0.079594986	0.079412045	0.079419999	0.084423022	0.08350832	0.086172887	0.191832904	0.191284083	0.199755019	0.190751169	0.11017785	0.201465114	0.110694855	0.090754351	0.090674811	0.086658076	0.163373739	0.085679743	0.11390029	0.085600204	0.113518501	0.200685629	0.090293023	0.09012599	0.200240209
"W_po_81036_arsu"	0.200868569	0.078099647	0	0.191132958	0.079189335	0.07818714	0.111673189	0.109263148	0.200494734	0.108610926	0.200399287	0.200812892	0.191292037	0.084502561	0.089084025	0.109263148	0.110678948	0.109907416	0.087509147	0.089919188	0.085496803	0.090515733	0.082474309	0.111283446	0.083778753	0.083532182	0.202045751	0.11066304	0.113908243	0.08830454	0.079618848	0.082776558	0.081718685	0.082967453	0.083842385	0.110161942	0.084001464	0.084709363	0.081917534	0.084200312	0.082450447	0.084192358	0.087183036	0.083810569	0.08186981	0.117328434	0.084160542	0.084629824	0.079793834	0.078656422	0.07840985	0.08350832	0.081877764	0.084494607	0.193081671	0.191387484	0.200335656	0.191713595	0.109947186	0.20190258	0.110591454	0.088026153	0.089632847	0.085282046	0.162983997	0.08350832	0.113287837	0.084160542	0.112492444	0.201648054	0.088869269	0.089529445	0.200089084
"W_po_81265_suta"	0.125083516	0.191363622	0.191132958	0	0.190655722	0.189717158	0.18561293	0.185509529	0.124121091	0.184093729	0.123500684	0.123802933	0.085425217	0.193089625	0.195237186	0.186559448	0.185223187	0.183942604	0.195571251	0.196963189	0.194640641	0.195157647	0.189772836	0.186050396	0.188929719	0.191260221	0.125290318	0.186686711	0.185986765	0.195253094	0.192119245	0.190552321	0.190592091	0.190806847	0.189947822	0.185247049	0.191920397	0.190735261	0.19048869	0.193391874	0.192039706	0.192540804	0.194449747	0.189343323	0.189597849	0.219075117	0.191395438	0.192151061	0.191196589	0.191427253	0.189939868	0.190695492	0.190019408	0.191252267	0.086085393	0.084645732	0.123214343	0.086069486	0.187163946	0.124622188	0.185247049	0.19457701	0.195372403	0.190385288	0.175264866	0.190536413	0.185541345	0.192238554	0.184920938	0.124335847	0.19524514	0.196780249	0.123969966
"W_po_85474_arsu"	0.19937323	0.080438103	0.079189335	0.190655722	0	0.080366517	0.110321021	0.108260953	0.198872133	0.107672362	0.198633515	0.198490344	0.189510356	0.084757087	0.088813592	0.108245045	0.108960898	0.109080207	0.086347873	0.087485285	0.086164933	0.088686329	0.08253794	0.109994909	0.082601572	0.084375298	0.200502688	0.109931278	0.11244472	0.088225001	0.080350609	0.080469918	0.082084566	0.08276065	0.083587859	0.109557443	0.084224174	0.083293564	0.081567561	0.084025325	0.083675352	0.084510515	0.086308103	0.082903821	0.081599376	0.114624097	0.080867615	0.083086761	0.079698387	0.080119945	0.078553021	0.082919729	0.082068658	0.081965257	0.191013649	0.189303554	0.1979972	0.190313703	0.109390411	0.200216347	0.110766441	0.088726098	0.088248863	0.085027521	0.162968089	0.085115014	0.111633419	0.084733225	0.111760682	0.199580032	0.087405746	0.090340746	0.198975534
"W_po_86085_arsu"	0.198386943	0.079372276	0.07818714	0.189717158	0.080366517	0	0.108459801	0.107067863	0.198108555	0.106240654	0.198363081	0.198092647	0.188205911	0.08421622	0.088018199	0.107735993	0.108435939	0.108332538	0.08622061	0.088964716	0.085226369	0.088924947	0.08231523	0.108642741	0.081297127	0.08302313	0.199389138	0.1083564	0.112524259	0.086475136	0.079682479	0.081678916	0.083389011	0.081901626	0.0830629	0.107664408	0.083031084	0.082625433	0.0816471	0.083389011	0.083357195	0.082744742	0.086435366	0.081297127	0.080469918	0.114703637	0.082712927	0.082657249	0.07907798	0.078242818	0.07699405	0.081313035	0.079762018	0.08328561	0.189931914	0.18881041	0.197758582	0.189104706	0.10924724	0.199532309	0.109143839	0.088010245	0.087723903	0.084057141	0.162061341	0.083651491	0.111076644	0.084192358	0.110965289	0.199261875	0.08826477	0.088145461	0.197877891
"W_po_A101_pu"	0.194712227	0.110392606	0.111673189	0.18561293	0.110321021	0.108459801	0	0.091684961	0.194306576	0.090841844	0.194083866	0.194672457	0.185151602	0.111259584	0.112086793	0.093243931	0.090237345	0.091470205	0.111927715	0.113828704	0.111378893	0.113645764	0.107592822	0.092909866	0.107401928	0.109016576	0.196366644	0.091334988	0.095471032	0.111402755	0.110941427	0.110678948	0.108793866	0.111156183	0.107815532	0.090849798	0.109533581	0.109048392	0.109581305	0.110050587	0.109986956	0.11066304	0.110599408	0.109104069	0.108563202	0.142240145	0.11013808	0.109318825	0.110193758	0.109963094	0.108905221	0.109454042	0.109191562	0.110169896	0.187688906	0.185215233	0.193924788	0.186432185	0.091955394	0.195618975	0.090245299	0.112396997	0.111903853	0.109668798	0.152930228	0.108722281	0.090666858	0.110456237	0.09496198	0.195587159	0.113176482	0.114282078	0.194521332
"W_po_A10701_pu"	0.193940695	0.110018771	0.109263148	0.185509529	0.108260953	0.107067863	0.091684961	0	0.193900926	0.089815787	0.19386911	0.193296427	0.184523241	0.108690465	0.111076644	0.091533836	0.089481722	0.090046451	0.109581305	0.112309503	0.10950972	0.11102892	0.105182781	0.091231587	0.105675925	0.109104069	0.195165601	0.089736248	0.095653972	0.108976806	0.108404123	0.107330343	0.107449652	0.107441698	0.105978174	0.089776017	0.106391779	0.106606535	0.107775763	0.107815532	0.106686074	0.107553053	0.110098311	0.107330343	0.105755464	0.13897108	0.106407687	0.107036047	0.107656454	0.105850912	0.105556616	0.106375871	0.105333906	0.108889313	0.187076453	0.185477713	0.193519137	0.186026534	0.090563456	0.194736089	0.091796316	0.111800452	0.110416468	0.106590627	0.152985906	0.10698037	0.09291782	0.1090643	0.093633674	0.194497471	0.110957335	0.11266743	0.19324075
"W_po_A12284_pa"	0.067966339	0.200104992	0.200494734	0.124121091	0.198872133	0.198108555	0.194306576	0.193900926	0	0.193741847	0.068085648	0.067878846	0.121321307	0.201624193	0.20358086	0.19498266	0.193264611	0.192079476	0.203899017	0.204336483	0.203397919	0.203294518	0.19848239	0.193805479	0.198243772	0.200367472	0.069143521	0.195412173	0.194632687	0.203914925	0.20127422	0.19892781	0.199508447	0.199500493	0.198164233	0.194004327	0.200582228	0.199222106	0.199341415	0.202149152	0.200685629	0.200518596	0.202888868	0.198466482	0.197989246	0.228214183	0.200216347	0.200574274	0.200319748	0.200804938	0.1979972	0.198880087	0.197838122	0.199245967	0.124176768	0.121528109	0.068212911	0.124097229	0.1950622	0.066677802	0.194242945	0.203334288	0.204034234	0.199094843	0.184372117	0.198911902	0.195666698	0.201059464	0.193789571	0.070766123	0.203684261	0.204948936	0.068220865
"W_po_A1381_pu"	0.193224842	0.10831663	0.108610926	0.184093729	0.107672362	0.106240654	0.090841844	0.089815787	0.193741847	0	0.192946454	0.192787376	0.184666412	0.10827686	0.111013013	0.090261207	0.088924947	0.089871464	0.110313067	0.11195953	0.109716522	0.111219815	0.104975979	0.089815787	0.104991887	0.108324584	0.194990614	0.089593077	0.0961153	0.109644937	0.109167701	0.107362158	0.107449652	0.107887118	0.106503134	0.088360218	0.106773567	0.106876969	0.10809392	0.108340492	0.107131494	0.108952945	0.109446088	0.106105437	0.105500939	0.138796093	0.107568961	0.107099679	0.108117782	0.107314435	0.105842958	0.106487226	0.106813337	0.107584868	0.187330979	0.185175464	0.192660113	0.185215233	0.090881614	0.194465655	0.090810028	0.112023162	0.110352836	0.107179218	0.152635933	0.108268906	0.092567847	0.107282619	0.094715408	0.194227037	0.110830072	0.112190194	0.192858961
