spec,lat,long
Hypocnemis,-12.2235,-70.9804
Hypocnemis,-12.2235,-70.9804
Hypocnemis,-12.2235,-70.9804
Hypocnemis,-12.2642,-70.9096
Hypocnemis,-3.19889,-70.8992
Hypocnemis,-3.19889,-70.8992
Hypocnemis,-3.19889,-70.8992
Hypocnemis,-3.19889,-70.8992
Hypocnemis,-12.2805,-70.8975
Hypocnemis,-12.285,-70.8867
Hypocnemis,-12.285,-70.8867
Hypocnemis,-4.33222,-70.8728
Hypocnemis,-13.3127,-70.8201
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.287,-70.7993
Hypocnemis,-12.2816,-70.7932
Hypocnemis,-13.2637,-70.7797
Hypocnemis,-13.2582,-70.7769
Hypocnemis,-13.2582,-70.7769
Hypocnemis,-4.1519,-70.7691
Hypocnemis,-13.2442,-70.7654
Hypocnemis,-12.3001,-70.7598
Hypocnemis,-12.3001,-70.7598
Hypocnemis,-12.3001,-70.7598
Hypocnemis,-12.3001,-70.7598
Hypocnemis,-12.4051,-70.7282
Hypocnemis,-12.3385,-70.7224
Hypocnemis,-12.3383,-70.7224
Hypocnemis,-12.3383,-70.7224
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3379,-70.7223
Hypocnemis,-12.3381,-70.7222
Hypocnemis,-12.3384,-70.7218
Hypocnemis,-12.3383,-70.7218
Hypocnemis,-12.3383,-70.7218
Hypocnemis,-12.3383,-70.7218
Hypocnemis,-12.3898,-70.7193
Hypocnemis,-12.4047,-70.7155
Hypocnemis,-12.3552,-70.7086
Hypocnemis,-12.3552,-70.7086
Hypocnemis,-12.3552,-70.7086
Hypocnemis,-12.3547,-70.7077
Hypocnemis,-12.3547,-70.7077
Hypocnemis,-12.393,-70.7072
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3554,-70.7064
Hypocnemis,-12.3557,-70.7061
Hypocnemis,-12.4051,-70.706
Hypocnemis,-12.4467,-70.7059
Hypocnemis,-12.4466,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.3552,-70.7058
Hypocnemis,-12.4443,-70.7042
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.355,-70.7029
Hypocnemis,-12.3992,-70.702
Hypocnemis,-12.3965,-70.7017
Hypocnemis,-12.3501,-70.7001
Hypocnemis,-12.3501,-70.7001
Hypocnemis,-12.3501,-70.7001
Hypocnemis,-12.3501,-70.7001
Hypocnemis,-13.2139,-70.6892
Hypocnemis,-12.4362,-70.6854
Hypocnemis,-4.20147,-70.6731
Hypocnemis,-2.53,-70.65
Hypocnemis,-2.53,-70.65
Hypocnemis,-2.70444,-70.5536
Hypocnemis,-2.71806,-70.5211
Hypocnemis,-2.71806,-70.5211
Hypocnemis,-2.71806,-70.5211
Hypocnemis,-2.71806,-70.5211
Hypocnemis,-4.2081,-70.5199
Hypocnemis,-4.2081,-70.5199
Hypocnemis,-4.2081,-70.5199
Hypocnemis,-3.82143,-70.4911
Hypocnemis,-2.53984,-70.4264
Hypocnemis,-4.17973,-70.4106
Hypocnemis,-3.78105,-70.3952
Hypocnemis,-3.7753,-70.3882
Hypocnemis,-3.7753,-70.3882
Hypocnemis,-3.77271,-70.3814
Hypocnemis,-3.77991,-70.3632
Hypocnemis,-4.26858,-70.3552
Hypocnemis,-4.2347,-70.3487
Hypocnemis,-3.80142,-70.3222
Hypocnemis,-3.74426,-70.3114
Hypocnemis,-3.74426,-70.3114
Hypocnemis,-3.74426,-70.3114
Hypocnemis,-3.74426,-70.3114
Hypocnemis,-3.80609,-70.3073
Hypocnemis,-13.1414,-70.3064
Hypocnemis,-13.1414,-70.3064
Hypocnemis,-13.1414,-70.3064
Hypocnemis,-3.75047,-70.306
Hypocnemis,-3.80377,-70.3046
Hypocnemis,-3.80377,-70.3046
Hypocnemis,-3.80377,-70.3046
Hypocnemis,-3.80377,-70.3046
Hypocnemis,-3.80377,-70.3046
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.23639,-70.2999
Hypocnemis,-4.24241,-70.2981
Hypocnemis,-4.24241,-70.2981
Hypocnemis,-4.24241,-70.2981
Hypocnemis,-4.24241,-70.2981
Hypocnemis,-4.28368,-70.2976
Hypocnemis,-4.23753,-70.2976
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
Hypocnemis,-4.2889,-70.2948
