spec,Lat,Long
Malacoptila,-9.8781,-56.0981
Malacoptila,-4.329595,-73.301324
Malacoptila,-4.2981,-73.2794
Malacoptila,-8.50029,-74.7002
Malacoptila,-9.8696,-56.0916
Malacoptila,-5.96423,-50.3652
Malacoptila,-4.29849,-73.2825
Malacoptila,-8.50029,-74.7002
Malacoptila,-4.2889,-70.2948
Malacoptila,-4.07364,-60.67
Malacoptila,-9.05583,-56.581
Malacoptila,-3.26492,-47.7342
Malacoptila,-9.59726,-55.9311
Malacoptila,-6.08823,-50.0345
Malacoptila,-9.24665,-55.988
Malacoptila,-8.50029,-74.7002
Malacoptila,-4.2889,-70.2948
Malacoptila,-8.68499,-74.2499
Malacoptila,-9.60079,-55.9228
Malacoptila,-4.2889,-70.2948
Malacoptila,-5.8412,-50.5184
Malacoptila,-4.54996,-56.3063
Malacoptila,-9.59726,-55.9311
Malacoptila,-9.59726,-55.9311
Malacoptila,-3.75955,-60.304
Malacoptila,-4.53904,-57.7593
Malacoptila,-3.6266,-60.3887
Malacoptila,-6.08823,-50.0345
Malacoptila,-4.53904,-57.7593
Malacoptila,-6.08823,-50.0345
Malacoptila,-9.60079,-55.9228
Malacoptila,-7.54002,-63.3534
Malacoptila,-9.59726,-55.9311
Malacoptila,-8.68499,-74.2499
Malacoptila,-4.30857,-70.2777
Malacoptila,-8.68499,-74.2499
Malacoptila,-4.31183,-73.2315
Malacoptila,-6.08818,-50.0345
Malacoptila,-3.61722,-72.2356
Malacoptila,-4.52793,-56.302
Malacoptila,-8.68499,-74.2499
Malacoptila,-8.61045,-63.8723
Malacoptila,-4.2889,-70.2948
Malacoptila,-3.45055,-72.8655
Malacoptila,-4.24241,-70.2981
Malacoptila,-7.54002,-63.3534
Malacoptila,-10.3153,-64.5531
Malacoptila,-5.82048,-50.5084
Malacoptila,-5.91794,-49.9188
Malacoptila,-8.68499,-74.2499
Malacoptila,-7.67824,-60.8871
Malacoptila,-4.2889,-70.2948
Malacoptila,-6.35111,-50.4269
Malacoptila,-9.41389,-64.9422
Malacoptila,-10.2979,-62.8667
Malacoptila,-4.29849,-73.2825
Malacoptila,-10.7172,-63.4506
Malacoptila,-9.72981,-61.8874
Malacoptila,-6.08838,-50.0341
Malacoptila,-8.93883,-62.0934
Malacoptila,-9.56828,-65.0739
Malacoptila,-4.2889,-70.2948
Malacoptila,-9.62442,-65.4524
Malacoptila,-9.62523,-65.4466
Malacoptila,-8.50029,-74.7002
Malacoptila,-4.29849,-73.2825
Malacoptila,-8.9343,-62.056
Malacoptila,-9.59726,-55.9311
Malacoptila,-3.94586,-58.7951
Malacoptila,-3.26492,-47.7342
Malacoptila,-4.2889,-70.2948
Malacoptila,-10.2979,-62.8667
Malacoptila,-9.57328,-55.9215
Malacoptila,-6.08817,-50.0344
Malacoptila,-4.29836,-73.2827
Malacoptila,-3.26492,-47.7342
Malacoptila,-4.27306,-70.3621
Malacoptila,-9.8696,-56.0916
Malacoptila,-9.69444,-65.4217
Malacoptila,-9.59726,-55.9311
Malacoptila,-3.94586,-58.7951
Malacoptila,-9.59726,-55.9311
Malacoptila,-3.73975,-46.7309
Malacoptila,-4.29836,-73.2827
Malacoptila,-3.73975,-46.7309
Malacoptila,-5.98435,-50.4981
Malacoptila,-4.2889,-70.2948
Malacoptila,-7.54002,-63.3534
Malacoptila,-4.2889,-70.2948
Malacoptila,-9.05583,-56.581
Malacoptila,-4.29849,-73.2825
Malacoptila,-4.28916,-70.2935
Malacoptila,-4.51356,-56.2994
Malacoptila,-8.68499,-74.2499
Malacoptila,-9.60079,-55.9228
Malacoptila,-5.98135,-50.3173
Malacoptila,-6.08823,-50.0345
Malacoptila,-3.61722,-72.2356
Malacoptila,-4.24241,-70.2981
Malacoptila,-4.52793,-56.302
Malacoptila,-4.55672,-56.3153
Malacoptila,-4.52793,-56.302
Malacoptila,-9.24665,-55.988
Malacoptila,-5.98135,-50.3173
Malacoptila,-4.2889,-70.2948
Malacoptila,-6.18629,-50.2786
Malacoptila,-4.29044,-70.2462
Malacoptila,-9.59726,-55.9311
Malacoptila,-8.68499,-74.2499
Malacoptila,-4.2889,-70.2948
Malacoptila,-4.52793,-56.302
Malacoptila,-8.68499,-74.2499
Malacoptila,-6.08838,-50.0341
Malacoptila,-8.68499,-74.2499
Malacoptila,-3.82108,-60.3615
Malacoptila,-3.75955,-60.304
Malacoptila,-9.59755,-55.9314
Malacoptila,-9.3946,-64.3445
Malacoptila,-9.59755,-55.9314
Malacoptila,-9.39451,-64.3354
Malacoptila,-4.29849,-73.2825
Malacoptila,-8.92136,-62.0818
Malacoptila,-9.57208,-65.0118
Malacoptila,-5.8412,-50.5184
Malacoptila,-11.3722,-65.7944
Malacoptila,-11.3722,-65.7944
Malacoptila,-4.24241,-70.2981
Malacoptila,-9.58565,-55.9199
Malacoptila,-4.24241,-70.2981
Malacoptila,-4.2889,-70.2948
Malacoptila,-11.3833,-64.8333
Malacoptila,-5.91794,-49.9188
Malacoptila,-6.08838,-50.0341
Malacoptila,-6.08838,-50.0341
Malacoptila,-4.2889,-70.2948
Malacoptila,-4.38897,-73.2578
Malacoptila,-11.5903,-63.985
Malacoptila,-11.7925,-64.2536
Malacoptila,-9.72981,-61.8874
Malacoptila,-8.93883,-62.0934
Malacoptila,-9.72981,-61.8874
Malacoptila,-9.73333,-61.8667
Malacoptila,-9.72981,-61.8874
Malacoptila,-6.1802,-50.2968
Malacoptila,-5.727387,-57.357027
Malacoptila,-9.5981,-55.932
Malacoptila,-0.914,-48.098
Malacoptila,-8.682687,-74.264908
Malacoptila,-3.56,-72.86
Malacoptila,-10.43,-61.05
Malacoptila,-5.18,-60.75
Malacoptila,-5.88,-52.8
Malacoptila,-6.03,-55.32
Malacoptila,-1.2,-48.3
Malacoptila,-5.18,-60.75
Malacoptila,-4.62,-56.6
Malacoptila,-10.43,-61.05
Malacoptila,-8.91,-60
Malacoptila,-12.91,-71.61
Malacoptila,-6.32,-55.77
Malacoptila,-1.95,-51.6
Malacoptila,-1.2,-48.3
Malacoptila,-4.18,-57.1
Malacoptila,-4.89,-75.14
Malacoptila,-5.65,-55.52
Malacoptila,-10.83,-64.75
Malacoptila,-10.31,-58.49
Malacoptila,-1.2,-48.3
Malacoptila,-8.7,-61.4
Malacoptila,-4.18,-57.1
Malacoptila,-6.55,-62.05
Malacoptila,-9.26,-54.48
Malacoptila,-1.2,-48.3
Malacoptila,-3.56,-72.86
Malacoptila,-4.53,-71.62
Malacoptila,-14.27,-60.87
Malacoptila,-3.91,-58.29
Malacoptila,-4.98,-62.13
Malacoptila,-4.99,-61.57
Malacoptila,-4.89,-75.14
Malacoptila,-9.68,-56.86
Malacoptila,-6.55,-62.05
Malacoptila,-1.95,-51.6
Malacoptila,-9.42,-55.32
Malacoptila,-3.56,-72.86
Malacoptila,-8.05,-55.18
Malacoptila,-3.91,-58.29
Malacoptila,-4.62,-56.6
Malacoptila,-5.57,-57.31
