spec,lat,long
phlegopsis,-9.7753,-70.696
phlegopsis,-8.459861,-70.556361
phlegopsis,-11.2279,-70.1421
phlegopsis,-9.81,-70.08
phlegopsis,-9.556,-70.053
phlegopsis,-9.4399,-70.0124
phlegopsis,-9.4456,-69.9968
phlegopsis,-9.3583,-69.9268
phlegopsis,-9.3582,-69.9268
phlegopsis,-9.3576,-69.9265
phlegopsis,-11.0981,-69.8712
phlegopsis,-11.1229,-69.8251
phlegopsis,-9.157333,-69.763417
phlegopsis,-8.6126,-69.7341
phlegopsis,-12.047,-69.6768
phlegopsis,-12.0452,-69.6766
phlegopsis,-8.6769,-69.6588
phlegopsis,-8.671,-69.6302
phlegopsis,-10.6685,-69.5937
phlegopsis,-10.8197,-69.5914
phlegopsis,-11.3959,-69.535
phlegopsis,-11.4,-69.5333
phlegopsis,-11.45,-69.5167
phlegopsis,-11.4244,-69.5064
phlegopsis,-11.4153,-69.4992
phlegopsis,-11.3425,-69.4647
phlegopsis,-11.2432,-69.401
phlegopsis,-11.5063,-69.2989
phlegopsis,-11.5068,-69.2969
phlegopsis,-11.0504,-69.2386
phlegopsis,-11.8847,-69.2174
phlegopsis,-11.7102,-69.2127
phlegopsis,-11.4249,-69.0046
phlegopsis,-8.7512,-68.9938
phlegopsis,-11.0316,-68.9888
phlegopsis,-9.1292,-68.9526
phlegopsis,-9.1302,-68.9525
phlegopsis,-3.46,-68.93
phlegopsis,-11.1157,-68.8733
phlegopsis,-11.1432,-68.8709
phlegopsis,-9.900583,-68.475583
phlegopsis,-9.900583,-68.475583
phlegopsis,-9.9044,-68.4739
phlegopsis,-9.326194,-68.335639
phlegopsis,-9.2715,-68.2726
phlegopsis,-10.0398,-68.207
phlegopsis,-9.9984,-68.2051
phlegopsis,-9.9924,-68.1258
phlegopsis,-9.9566,-68.1153
phlegopsis,-10.9283,-68.061
phlegopsis,-10.849,-68.0399
phlegopsis,-9.8823,-67.9175
phlegopsis,-9.9491,-67.8809
phlegopsis,-9.9527,-67.8712
phlegopsis,-5.8957,-67.8588
phlegopsis,-10.636833,-67.8155
phlegopsis,-9.5433,-67.7454
phlegopsis,-9.958972,-67.732556
phlegopsis,-9.7512,-67.6707
phlegopsis,-9.756694,-67.670583
phlegopsis,-9.756694,-67.670583
phlegopsis,-9.7515,-67.6698
phlegopsis,-10.0725,-67.6119
phlegopsis,-10.128389,-67.328472
phlegopsis,-10.128389,-67.328472
phlegopsis,-5.3716,-67.2753
phlegopsis,-5.0644,-67.1095
phlegopsis,-5.0593,-67.1059
phlegopsis,-10.954,-66.833
phlegopsis,-11.1468,-66.167
phlegopsis,-11.0466,-66.1403
phlegopsis,-11.1338,-66.1065
phlegopsis,-11.0307,-66.099
phlegopsis,-11.023,-66.0987
phlegopsis,-11.029,-66.0958
phlegopsis,-11.0337,-66.0955
phlegopsis,-11.0276,-66.0855
phlegopsis,-10.54,-66.07
phlegopsis,-10.8879,-65.9412
phlegopsis,-11.0585,-65.7493
phlegopsis,-9.6944,-65.4217
phlegopsis,-10.2264,-65.3717
phlegopsis,-9.953,-65.35
phlegopsis,-10.911222,-65.223972
phlegopsis,-10.8965,-65.2231
phlegopsis,-9.5939,-65.0569
phlegopsis,-7.1965,-64.7851
phlegopsis,-10.833333,-64.75
phlegopsis,-10.3153,-64.5531
phlegopsis,-9.293,-64.5319
phlegopsis,-9.2567,-64.4168
phlegopsis,-9.266822,-64.400086
phlegopsis,-9.4266,-64.3021
phlegopsis,-11.7925,-64.2536
phlegopsis,-11.5903,-63.985
phlegopsis,-8.6816,-63.8788
phlegopsis,-10.7172,-63.4506
phlegopsis,-8.75,-63.45
phlegopsis,-7.54,-63.3534
phlegopsis,-9.0825,-63.3005
phlegopsis,-8.223889,-63.181833
phlegopsis,-8.223889,-63.181833
phlegopsis,-8.223889,-63.181833
phlegopsis,-10.5344,-63.1683
phlegopsis,-4.983333,-62.966667
phlegopsis,-4.983333,-62.966667
phlegopsis,-4.983333,-62.966667
phlegopsis,-4.983333,-62.966667
phlegopsis,-4.983333,-62.966667
phlegopsis,-10.2993,-62.9511
phlegopsis,-10.3419,-62.9443
phlegopsis,-7.775972,-62.941389
phlegopsis,-10.3167,-62.8667
phlegopsis,-10.2979,-62.8667
phlegopsis,-7.5896,-62.7606
phlegopsis,-6.0964,-62.5759
phlegopsis,-8.8554,-62.1786
phlegopsis,-8.9248,-62.1223
phlegopsis,-8.9258,-62.1157
phlegopsis,-8.919,-62.11
phlegopsis,-8.9214,-62.0818
phlegopsis,-8.953,-61.926
phlegopsis,-9.7298,-61.8874
phlegopsis,-9.0215,-61.7877
phlegopsis,-9.442222,-61.683806
phlegopsis,-8.8956,-61.5803
phlegopsis,-8.650361,-61.420139
phlegopsis,-8.695667,-61.408167
phlegopsis,-8.687306,-61.408167
phlegopsis,-8.5981,-61.0074
phlegopsis,-8.4882,-60.9667
phlegopsis,-8.4615,-60.9659
phlegopsis,-8.4942,-60.9622
phlegopsis,-7.695083,-60.912417
phlegopsis,-7.695083,-60.912417
phlegopsis,-7.695083,-60.912417
phlegopsis,-7.695083,-60.912417
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.699787,-60.890504
phlegopsis,-7.6782,-60.8871
phlegopsis,-9.1588,-60.7341
phlegopsis,-7.5742,-60.6917
phlegopsis,-7.56722,-60.68817
phlegopsis,-7.56722,-60.68817
phlegopsis,-7.56722,-60.68817
phlegopsis,-7.5673,-60.6879
phlegopsis,-7.5726,-60.6836
phlegopsis,-7.703667,-60.595694
phlegopsis,-7.703667,-60.595694
phlegopsis,-7.703667,-60.595694
phlegopsis,-7.703667,-60.595694
phlegopsis,-7.703667,-60.595694
phlegopsis,-6.9351,-60.5342
phlegopsis,-6.6046,-60.4677
phlegopsis,-8.17761,-60.45314
phlegopsis,-8.17761,-60.45314
phlegopsis,-6.25,-60.45
phlegopsis,-5.5017,-60.4074
phlegopsis,-5.1828,-60.3906
phlegopsis,-5.2803,-59.6959
phlegopsis,-5.280333,-59.695889
phlegopsis,-5.2487,-59.6956
phlegopsis,-5.25175,-59.694722
phlegopsis,-5.288889,-59.693611
phlegopsis,-3.5805,-59.6911
phlegopsis,-4.3881,-59.5934
phlegopsis,-4.4,-59.5928
phlegopsis,-4.5431,-59.5741
phlegopsis,-4.5488,-59.5735
phlegopsis,-4.4689,-59.5547
phlegopsis,-4.6195,-59.5114
phlegopsis,-4.611,-59.5097
phlegopsis,-5.8033,-59.2567
phlegopsis,-5.8025,-59.25625
phlegopsis,-9.2476,-59.2352
phlegopsis,-5.797861,-59.230778
phlegopsis,-5.7966,-59.2296
phlegopsis,-5.950556,-59.173889
phlegopsis,-4.0339,-59.1088
phlegopsis,-6.561944,-59.091111
phlegopsis,-6.754722,-59.083056
phlegopsis,-4.0394,-59.0467
phlegopsis,-3.9459,-58.7951
phlegopsis,-3.907,-58.401806
phlegopsis,-3.8491,-58.3222
phlegopsis,-9.8529,-58.3051
phlegopsis,-9.818,-58.2888
phlegopsis,-9.8215,-58.2599
phlegopsis,-7.5028,-58.2579
phlegopsis,-7.4981,-58.2572
phlegopsis,-7.513333,-58.253611
phlegopsis,-9.8558,-58.2484
phlegopsis,-7.6423,-58.2366
phlegopsis,-7.5158,-58.2328
phlegopsis,-7.1381,-58.2323
phlegopsis,-9.8446,-58.2299
phlegopsis,-9.8654,-58.2259
phlegopsis,-7.3475,-58.157222
phlegopsis,-6.021,-57.823
phlegopsis,-6.02,-57.82
phlegopsis,-4.5227,-57.7827
phlegopsis,-4.539,-57.7593
phlegopsis,-5.89759,-57.69662
phlegopsis,-3.6959,-57.5088
phlegopsis,-3.7323,-57.4968
phlegopsis,-6.518953,-57.444556
phlegopsis,-5.766806,-57.287639
phlegopsis,-5.6219,-57.2803
phlegopsis,-10.3224,-56.9731
phlegopsis,-9.1122,-56.9422
phlegopsis,-4.434,-56.8378
phlegopsis,-4.6935,-56.6385
phlegopsis,-9.6896,-56.6377
phlegopsis,-11.1923,-56.5817
phlegopsis,-10.6815,-56.5447
phlegopsis,-9.49,-56.48
phlegopsis,-2.5802,-56.469
phlegopsis,-5.066667,-56.433333
phlegopsis,-9.9712,-56.4256
phlegopsis,-4.8875,-56.424167
phlegopsis,-4.745097,-56.412678
phlegopsis,-4.6244,-56.3874
