spec,lat,long
Thamnophilus,-9.31029,-75.994
Thamnophilus,-9.49456,-75.9516
Thamnophilus,-9.49456,-75.9516
Thamnophilus,-9.49456,-75.9516
Thamnophilus,-7.594583,-75.916111
Thamnophilus,-9.19822,-75.8862
Thamnophilus,-9.19822,-75.8862
Thamnophilus,-9.19822,-75.8862
Thamnophilus,-9.19822,-75.8862
Thamnophilus,-9.19822,-75.8862
Thamnophilus,-7.26766,-75.8798
Thamnophilus,-7.26766,-75.8798
Thamnophilus,-7.1764,-75.7035
Thamnophilus,-7.1764,-75.7035
Thamnophilus,-7.13348,-75.6562
Thamnophilus,-7.13348,-75.6562
Thamnophilus,-7.13348,-75.6562
Thamnophilus,-10.7227,-75.2662
Thamnophilus,-7.18967,-74.9487
Thamnophilus,-9.45224,-74.8667
Thamnophilus,-8.93807,-74.8272
Thamnophilus,-8.93807,-74.8272
Thamnophilus,-9.48828,-74.8238
Thamnophilus,-9.48828,-74.8238
Thamnophilus,-10.503,-74.8114
Thamnophilus,-10.504291,-74.80814
Thamnophilus,-8.91661,-74.7879
Thamnophilus,-5.41368,-74.74
Thamnophilus,-10.4649,-74.6898
Thamnophilus,-8.380846,-74.569359
Thamnophilus,-5.45221,-74.5545
Thamnophilus,-8.375,-74.465
Thamnophilus,-4.87741,-74.3557
Thamnophilus,-4.72456,-74.3542
Thamnophilus,-4.72456,-74.3542
Thamnophilus,-4.72456,-74.3542
Thamnophilus,-6.87,-74.32
Thamnophilus,-11.130279,-74.286804
Thamnophilus,-11.130279,-74.286804
Thamnophilus,-11.1303,-74.2868
Thamnophilus,-11.0587,-74.1919
Thamnophilus,-10.526,-74.1179
Thamnophilus,-10.526,-74.1179
Thamnophilus,-10.526,-74.1179
Thamnophilus,-10.526,-74.1179
Thamnophilus,-10.5235,-74.0993
Thamnophilus,-10.5235,-74.0993
Thamnophilus,-10.5321,-74.0817
Thamnophilus,-10.5321,-74.0817
Thamnophilus,-8.41276,-74.0331
Thamnophilus,-5.41362,-73.9433
Thamnophilus,-5.41362,-73.9433
