spec,lat,long
Willisornis,-12.5692,-70.1
Willisornis,-12.569,-70.1
Willisornis,-12.569,-70.0999
Willisornis,-12.5687,-70.0991
Willisornis,-12.5696,-70.0987
Willisornis,-12.5788,-70.0724
Willisornis,-7.859,-70.052917
Willisornis,-4.04888,-70.0349
Willisornis,-4.04888,-70.0349
Willisornis,-4.04086,-70.0149
Willisornis,-4.04086,-70.0149
Willisornis,-4.08457,-69.9943
Willisornis,-4.05853,-69.9943
Willisornis,-4.07895,-69.9876
Willisornis,-4.07895,-69.9876
Willisornis,-4.09925,-69.9863
Willisornis,-3.9041,-69.9831
Willisornis,-3.07,-69.98
Willisornis,-3.07,-69.98
Willisornis,-4.08903,-69.9782
Willisornis,-4.08903,-69.9782
Willisornis,-4.10435,-69.9742
Willisornis,-4.10506,-69.972
Willisornis,-4.1603,-69.947
Willisornis,-4.21507,-69.9425
Willisornis,-4.06975,-69.939
Willisornis,-9.3657,-69.934
Willisornis,-9.35819,-69.9268
Willisornis,-9.35761,-69.9265
Willisornis,-9.35761,-69.9265
Willisornis,-9.35761,-69.9265
Willisornis,-9.35761,-69.9265
Willisornis,-9.35761,-69.9265
Willisornis,-4.13582,-69.9213
Willisornis,-4.13582,-69.9213
Willisornis,-4.13582,-69.9213
Willisornis,-3.985833,-69.901667
Willisornis,-3.985833,-69.901667
Willisornis,-3.985833,-69.901667
Willisornis,-3.985833,-69.901667
Willisornis,-3.985833,-69.901667
Willisornis,-3.985833,-69.901667
Willisornis,-4.005278,-69.898889
Willisornis,-4.003611,-69.8925
Willisornis,-12.0609,-69.8815
Willisornis,-13.503,-69.683
Willisornis,-12.047,-69.6768
Willisornis,-12.047,-69.6768
Willisornis,-13.4843,-69.6744
Willisornis,-13.1372,-69.6119
Willisornis,-13.1372,-69.6119
Willisornis,-13.1372,-69.6119
Willisornis,-13.1372,-69.6119
Willisornis,-13.1372,-69.6119
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.1342,-69.6109
Willisornis,-13.142,-69.607
Willisornis,-13.0022,-69.6011
Willisornis,-13.0022,-69.6011
Willisornis,-11.3959,-69.535
Willisornis,-12.8204,-69.53
Willisornis,-12.8204,-69.53
Willisornis,-12.8204,-69.53
Willisornis,-12.8304,-69.5238
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.9338,-69.5174
Willisornis,-12.0699,-69.5165
Willisornis,-12.0699,-69.5165
Willisornis,-12.9318,-69.5155
