"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7","pop 8"
"1",0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0
"11",0.8,0.363636363636364,0.4,0,0,0,0.181818181818182,0
"12",1.2,1.30909090909091,1.2,0.909090909090909,0.5,0.733333333333333,1.09090909090909,0.933333333333333
"13",1.6,1.27272727272727,1.8,2.4,1.16666666666667,1.44444444444444,1.27272727272727,2.33333333333333
"14",1.2,0.327272727272727,1,1.49090909090909,0.666666666666667,0.711111111111111,0.363636363636364,1.4
"15",0,0,0,0,0,0.466666666666667,0.327272727272727,0.666666666666667
"16",0,0,0,0,0,0.466666666666667,0.327272727272727,0.666666666666667
"17",0.4,0.181818181818182,0.4,0,0,0,0,0
"18",0.4,0.181818181818182,0.4,0,0,0,0,0
"19",0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0
"24",0,0.181818181818182,0.4,0,0,0.2,0.181818181818182,0
"25",0,0.181818181818182,0.4,0,0,0.2,0.181818181818182,0
"26",0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0
"33",0,0.181818181818182,0,0,0,0.2,0,0
"34",0,0.181818181818182,0,0,0,0.4,0,0
"35",0.4,0,0,0,0,0.2,0.181818181818182,0
"36",0.4,0.327272727272727,0.8,0.181818181818182,0,0.4,0.363636363636364,0
"37",0.4,0.327272727272727,0.8,0.909090909090909,0.5,1,0.363636363636364,0.333333333333333
"38",1.4,0.181818181818182,0.8,1.05454545454545,1,2.15555555555556,1.78181818181818,1.73333333333333
"39",1.4,0.509090909090909,2,1.27272727272727,1.16666666666667,2.46666666666667,1.78181818181818,2.33333333333333
