"","align","tree","seq.length","var.frac","var.sites","LR"
"1","locus99848.nexus","locus99848.tre","2353","0.0577985550361241","136","6231.05358484136"
"2","locus99850.nexus","locus99850.tre","596","0.0419463087248322","25","1755.05380654876"
"3","locus99853.nexus","locus99853.tre","2004","0.0593812375249501","119","9492.51718797587"
"4","locus99854.nexus","locus99854.tre","974","0.0687885010266941","67","6733.26205612891"
"5","locus99857.nexus","locus99857.tre","840","0.0476190476190476","40","4303.6189173778"
"6","locus99864.nexus","locus99864.tre","636","0.0424528301886792","27","3217.31735456639"
"7","locus99870.nexus","locus99870.tre","419","0.0930787589498807","39","12805.4303713946"
"8","locus99879.nexus","locus99879.tre","674","0.0311572700296736","21","7210.38364824493"
